Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.04708,0.685991,0.693688,0.667404,0.00187078,0.00266012,-0.00186173
0.2,4.04577,1.35785,1.3753,1.31263,0.00109606,0.00924941,0.00869702
0.3,6.02966,2.01891,2.05843,1.95232,0.00429516,0.0148798,0.0122019
0.4,7.99446,2.67957,2.7343,2.58059,0.00836954,0.0212769,0.00848224
0.5,9.91019,3.32713,3.39522,3.18784,0.0226322,0.0270282,-0.00503304
0.6,11.7985,3.96794,4.05671,3.77383,0.032111,0.0343128,-0.0186089
0.7,13.6394,4.59535,4.70139,4.34265,0.0365315,0.0346043,-0.0362646
0.8,15.4486,5.19325,5.35213,4.90323,0.0248752,0.0360242,-0.0484856
0.9,17.2434,5.80094,5.99682,5.44567,0.0057164,0.0384665,-0.0625439
1.0,19.0336,6.41798,6.64003,5.97556,-0.0209129,0.0515243,-0.0867718
1.1,20.8139,7.03704,7.27964,6.49721,-0.0434341,0.0489695,-0.115416
1.2,22.5853,7.65909,7.91241,7.01382,-0.0652286,0.0440348,-0.148729
1.3,24.3286,8.27003,8.54724,7.51132,-0.0868308,0.0434851,-0.178624
1.4,26.0847,8.88886,9.19079,8.00499,-0.101205,0.0520919,-0.205452
1.5,27.8386,9.51522,9.82426,8.49909,-0.117061,0.0602256,-0.226618
1.6,29.5883,10.1429,10.4591,8.98629,-0.144718,0.0757816,-0.249727
1.7,31.3069,10.7773,11.0801,9.44954,-0.163303,0.0931413,-0.277285
1.8,33.0068,11.4234,11.6815,9.90195,-0.177792,0.113632,-0.31364
1.9,34.6702,12.0764,12.2675,10.3263,-0.202069,0.142094,-0.348574
2.0,36.3636,12.7676,12.848,10.748,-0.240785,0.183433,-0.384752
2.1,38.0559,13.4394,13.4369,11.1796,-0.278266,0.233989,-0.429597
2.2,39.8061,14.1354,14.0373,11.6334,-0.316563,0.286467,-0.469239
2.3,41.5598,14.8201,14.6444,12.0954,-0.353265,0.328786,-0.492674
2.4,43.3114,15.5221,15.2419,12.5474,-0.384044,0.363648,-0.519403
2.5,45.088,16.2475,15.842,12.9985,-0.420524,0.398963,-0.55011
2.6,46.8386,16.9479,16.4442,13.4465,-0.4458,0.429885,-0.567851
2.7,48.5953,17.6491,17.0515,13.8947,-0.467847,0.458607,-0.582662
2.8,50.3744,18.3638,17.6719,14.3387,-0.489674,0.494101,-0.598681
2.9,52.1696,19.0904,18.2954,14.7839,-0.510675,0.53551,-0.601584
3.0,53.9504,19.837,18.9118,15.2016,-0.514778,0.571452,-0.587139
3.1,55.7026,20.568,19.5261,15.6085,-0.527121,0.606452,-0.572735
3.2,57.4254,21.2928,20.1309,16.0016,-0.542219,0.64768,-0.555587
3.3,59.174,22.0422,20.7475,16.3842,-0.561805,0.683418,-0.541466
3.4,60.899,22.778,21.3294,16.7916,-0.589526,0.719042,-0.521577
3.5,62.6175,23.5277,21.9046,17.1853,-0.621702,0.747823,-0.503011
3.6,64.3507,24.2928,22.4906,17.5673,-0.647367,0.777768,-0.488708
3.7,66.0985,25.0562,23.0883,17.954,-0.6609,0.799272,-0.450347
3.8,67.815,25.8229,23.6779,18.3143,-0.692528,0.823137,-0.411984
3.9,69.4781,26.5908,24.2669,18.6204,-0.761454,0.862644,-0.376103
4.0,71.1217,27.3471,24.8618,18.9128,-0.830139,0.891475,-0.349323
4.1,72.7493,28.1001,25.4635,19.1858,-0.903336,0.905749,-0.307681
4.2,74.3707,28.8383,26.063,19.4694,-0.985309,0.921948,-0.247772
4.3,75.9386,29.5463,26.6519,19.7404,-1.05607,0.935361,-0.18664
4.4,77.4753,30.2284,27.2571,19.9897,-1.12144,0.960878,-0.137913
4.5,79.0208,30.9192,27.8597,20.2418,-1.18,0.97412,-0.0941501
4.6,80.5917,31.5909,28.5001,20.5006,-1.24257,0.998859,-0.0578816
4.7,82.2005,32.2718,29.1619,20.7668,-1.307,1.04019,-0.0393637
4.8,83.8731,32.9646,29.8739,21.0346,-1.36777,1.07883,-0.0273823
4.9,85.603,33.6969,30.6029,21.3031,-1.42549,1.10961,-0.0203141
5.0,87.2965,34.4393,31.2962,21.561,-1.49993,1.14098,0.0119905
5.1,88.9477,35.1712,31.9459,21.8305,-1.5658,1.16487,0.0561357
5.2,90.6044,35.8869,32.5962,22.1213,-1.61389,1.20305,0.0888052
5.3,92.2669,36.5882,33.2638,22.4149,-1.65624,1.24337,0.132413
5.4,93.97,37.3087,33.9599,22.7015,-1.7038,1.28114,0.164602
5.5,95.6592,38.0584,34.6275,22.9733,-1.75784,1.31535,0.20559
5.6,97.3767,38.8357,35.3006,23.2405,-1.80828,1.36631,0.231506
5.7,99.0376,39.5597,35.9848,23.4932,-1.87281,1.4154,0.276469
5.8,100.75,40.3128,36.6856,23.7514,-1.93744,1.45599,0.317456
5.9,102.471,41.0432,37.4126,24.0148,-1.96939,1.50281,0.368438
6.0,104.204,41.7991,38.1152,24.2901,-2.00139,1.5597,0.420952
6.1,105.947,42.5683,38.8006,24.5781,-2.05418,1.61267,0.435827
6.2,107.699,43.3149,39.4995,24.8842,-2.12429,1.66074,0.461112
6.3,109.446,44.0562,40.2149,25.1753,-2.21131,1.7022,0.48116
6.4,111.196,44.831,40.8957,25.4696,-2.2701,1.73622,0.49449
6.5,112.833,45.507,41.5825,25.7431,-2.34715,1.76402,0.499139
6.6,114.43,46.181,42.2632,25.9854,-2.44236,1.80333,0.525226
6.7,115.93,46.7838,42.9329,26.2136,-2.54114,1.8291,0.531493
6.8,117.422,47.3777,43.6129,26.4312,-2.60304,1.84352,0.545831
6.9,118.869,47.9409,44.2809,26.6471,-2.65547,1.83131,0.558326
7.0,120.351,48.503,44.9687,26.8791,-2.69914,1.80199,0.593917
7.1,121.873,49.0497,45.6496,27.1734,-2.7681,1.82347,0.593181
7.2,123.232,49.5718,46.2974,27.3624,-2.82412,1.82656,0.550267
7.3,124.659,50.1042,46.9613,27.5938,-2.85198,1.8371,0.499963
7.4,126.026,50.628,47.6211,27.7771,-2.89052,1.8292,0.40944
7.5,127.449,51.1728,48.3065,27.9695,-2.95446,1.83594,0.364207
7.6,129.021,51.7836,49.022,28.2151,-3.00366,1.85904,0.352441
7.7,130.594,52.3729,49.789,28.4317,-3.01824,1.86935,0.32097
7.8,132.234,53.0203,50.5224,28.6913,-3.01522,1.8875,0.251606
7.9,133.925,53.6151,51.3271,28.9831,-2.9865,1.94747,0.152457
8.0,135.492,54.1281,52.1328,29.2309,-2.94174,1.99982,0.0826386
8.1,136.877,54.6324,52.8556,29.3894,-2.92552,2.06386,0.0407538
8.2,138.267,55.1783,53.5766,29.5122,-2.98169,2.17019,0.00225048
8.3,139.723,55.7256,54.2565,29.741,-3.01819,2.29196,-0.0415539
8.4,141.017,56.1952,54.8699,29.9515,-3.02061,2.41789,-0.0469503
8.5,142.53,56.7923,55.534,30.2034,-3.06267,2.60477,-0.0461245
8.6,143.974,57.3036,56.1887,30.4814,-3.11184,2.74974,-0.0777182
8.7,145.486,57.8889,56.8087,30.7883,-3.14663,2.91402,-0.0188984
8.8,146.811,58.5257,57.27,31.0154,-3.17437,3.02925,0.0607199
8.9,148.116,59.2324,57.6162,31.2674,-3.23594,3.10608,0.129338
9.0,149.744,60.0817,58.1765,31.4853,-3.22908,3.20661,0.19251
9.1,151.323,60.707,58.9138,31.7018,-3.13489,3.23685,0.248874
