Time (ns),Atom id,Diffusion Coefficient (cm²/s)
200.0,75,0.208874
200.0,84,0.280903
200.0,94,0.138912
200.0,113,0.219063
200.0,117,0.271339
200.0,122,0.331899
200.0,150,0.0311804
200.0,158,0.0
200.0,216,0.0
200.0,231,0.212166
210.0,22,0.165971
210.0,46,0.0785632
210.0,62,0.23744
210.0,63,0.164079
210.0,72,0.302803
210.0,110,0.118204
210.0,184,0.0774287
210.0,191,0.269388
210.0,216,0.000152373
210.0,255,0.00124935
210.0,281,0.00493564
220.0,11,0.276157
220.0,63,0.000501065
220.0,107,0.334125
220.0,110,0.315814
220.0,114,0.20925
220.0,125,0.00285931
220.0,141,0.254015
220.0,226,0.158095
220.0,247,0.198103
220.0,259,0.229812
220.0,263,0.221196
220.0,267,0.253951
230.0,8,0.210043
230.0,53,0.282482
230.0,63,0.000791599
230.0,76,0.122244
230.0,93,0.192833
230.0,125,9.57097e-05
230.0,128,0.0677882
230.0,167,0.23414
230.0,209,0.0979429
230.0,241,0.155754
230.0,281,0.262753
230.0,289,0.0726616
240.0,19,0.223785
240.0,38,0.204141
240.0,40,0.272489
240.0,48,0.10304
240.0,51,0.0161472
240.0,93,0.16995
240.0,97,0.163725
240.0,158,0.18575
240.0,168,0.225711
240.0,170,0.226457
240.0,176,0.286031
240.0,181,0.02399
240.0,216,5.45565e-05
240.0,228,0.330549
240.0,265,0.316528
240.0,289,0.09097
250.0,76,0.307195
250.0,78,0.117267
250.0,115,0.333169
250.0,187,0.0
250.0,201,0.0317047
250.0,216,2.21468e-05
250.0,227,0.331116
250.0,234,0.23774
250.0,289,0.334904
250.0,294,0.255318
260.0,19,0.263478
260.0,25,0.288036
260.0,63,0.00587303
260.0,65,0.241667
260.0,66,0.1431
260.0,79,0.277259
260.0,100,0.231064
260.0,125,2.32483e-05
260.0,128,0.330487
260.0,142,0.177215
260.0,178,0.302519
260.0,226,0.119919
260.0,240,0.284264
260.0,243,0.294493
270.0,37,0.00157684
270.0,58,0.271316
270.0,73,0.00086086
270.0,88,0.162739
270.0,90,0.0
270.0,98,0.109821
270.0,135,0.32705
270.0,216,4.24041e-06
270.0,247,0.256997
280.0,17,0.223773
280.0,63,0.0080316
280.0,148,0.139971
280.0,158,0.175943
280.0,189,0.299499
280.0,197,0.183766
280.0,204,0.29855
280.0,210,0.279225
280.0,216,0.000183076
280.0,290,0.203348
290.0,44,0.0494143
290.0,56,0.121224
290.0,73,0.00123766
290.0,121,0.265449
290.0,123,0.202107
290.0,136,0.226692
290.0,168,0.332442
290.0,194,0.255955
290.0,216,7.00469e-05
290.0,220,0.133628
300.0,24,0.000224756
300.0,53,0.303625
300.0,59,0.312639
300.0,60,0.241164
300.0,72,0.302147
300.0,122,0.303389
300.0,175,0.242077
300.0,183,0.268948
300.0,187,0.000582348
