Atom id,Diffusion Coefficient (cm²/s)
1,3.80773
2,1.81869
3,0.726658
4,5.45082
5,0.994825
6,3.41759
7,4.79758
8,3.00549
9,3.86502
10,0.939156
11,2.37782
12,2.34835
13,1.14329
14,3.19839
15,7.13556
16,1.58542
17,2.41684
18,2.07541
19,0.939208
20,4.06326
21,1.75253
22,5.10935
23,4.51924
24,3.75596
25,4.99011
26,4.09359
27,2.05579
28,1.8248
29,3.58076
30,0.904048
31,0.873226
32,0.989401
33,12.5205
34,2.35361
35,6.15707
36,4.90626
37,5.33135
38,4.69077
39,3.30042
40,3.94981
41,3.01332
42,1.09391
43,1.4568
44,8.42131
45,0.411244
46,4.86263
47,1.77377
48,3.77434
49,1.86829
50,0.619056
51,1.59219
52,4.65922
53,4.66049
54,0.393778
55,3.51619
56,6.78796
57,4.47159
58,4.60852
59,3.9817
60,0.186415
61,1.77913
62,0.759034
63,0.000628655
64,2.38416
65,7.09585
66,0.153353
67,0.843029
68,1.49256
69,2.26618
70,0.0
71,4.92746
72,7.56871
73,4.74509
74,5.66419
75,0.295298
76,1.0027
77,4.20094
78,0.969604
79,5.1793
80,0.834468
81,2.14993
82,6.98597
83,3.11905
84,3.08548
85,3.89096
86,5.08427
87,3.65369
88,2.38958
89,1.12325
90,2.48262
91,1.29096
92,3.0238
93,2.1488
94,0.844389
95,7.86592
96,1.53602
97,3.09613
98,0.965581
99,0.468946
100,3.83066
101,2.70475
102,0.585021
103,3.30166
104,1.88501
105,3.19875
106,6.29598
107,5.11164
108,2.74289
109,1.97393
110,4.11665
111,4.12784
112,2.21075
113,2.67614
114,4.4913
115,6.38896
116,0.93809
117,1.71526
118,2.08021
119,0.427916
120,1.65243
121,0.504987
122,1.84587
123,7.9567
124,6.74968
125,2.95751e-05
126,1.06466
127,0.613821
128,7.69364
129,1.83149
130,2.25283
131,3.24816
132,3.12816
133,0.376963
134,1.42231
135,2.30497
136,3.53424
137,1.01993
138,3.1683
139,1.13862
140,3.04194
141,1.94154
142,4.04405
143,1.75377
144,6.43892
145,2.30841
146,6.8219
147,1.41268
148,0.60272
149,0.686999
150,1.00209
151,1.16738
152,6.94287
153,1.4842
154,1.45684
155,1.8118
156,10.4569
157,3.06038
158,11.1359
159,3.82048
160,1.248
161,4.09291
162,6.72475
163,5.46422
164,14.2502
165,0.337709
166,0.475208
167,0.888007
168,2.97407
169,0.662892
170,2.05939
171,5.48082
172,0.326362
173,0.825293
174,6.32137
175,2.47892
176,1.8998
177,2.3937
178,1.7679
179,2.76619
180,2.4699
181,0.172845
182,0.540184
183,8.94273
184,0.582094
185,2.70533
186,0.6371
187,1.78785
188,2.33806
189,2.56851
190,5.81256
191,0.0963073
192,0.0794845
193,3.0472
194,2.09533
195,1.58506
196,1.53212
197,7.24315
198,1.81887
199,1.17175
200,2.36689
201,1.04687
202,0.38079
203,1.73924
204,2.58932
205,1.3063
206,1.50278
207,2.3157
208,1.70246
209,2.40131
210,1.63571
211,8.15658
212,0.886124
213,0.511122
214,1.30095
215,3.38887
216,6.19842
217,0.860172
218,3.82631
219,4.93683
220,0.677347
221,1.1277
222,4.40476
223,2.64023
224,6.36536
225,2.65253
226,2.81712
227,0.538789
228,3.07675
229,2.75055
230,2.16792
231,1.61454
232,3.93465
233,3.65995
234,2.30903
235,3.32424
236,7.4116
237,2.07424
238,4.79534
239,6.85402
240,1.27351
241,1.35277
242,4.9946
243,2.56548
244,5.51885
245,1.91808
246,0.899736
247,0.943637
248,3.45845
249,6.51524
250,3.86261
251,5.11197
252,3.52173
253,0.838026
254,1.23486
255,3.5447
256,2.40721
257,3.66105
258,2.71074
259,2.15129
260,2.22701
261,0.967275
262,1.49544
263,1.43403
264,1.50973
265,1.54187
266,1.8625
267,2.06264
268,4.68522
269,1.9764
270,4.71236
271,2.58366
272,0.460886
273,5.11168
274,4.47506
275,3.16216
276,0.655239
277,0.806111
278,3.27435
279,0.817981
280,1.28549
281,1.04391
282,1.31157
283,1.63908
284,3.83193
285,3.01979
286,1.50662
287,0.478771
288,0.542328
289,1.34247
290,0.371895
291,3.65335
292,4.93399
293,5.80638
294,7.12098
