Atom id,Diffusion Coefficient (cm²/s)
1,5.4841
2,1.20662
3,0.146293
4,4.88748
5,0.255588
6,2.71455
7,16.9536
8,1.01192
9,1.18435
10,2.12574
11,0.205351
12,1.96996
13,0.496226
14,2.6342
15,0.852684
16,4.9017
17,3.16991
18,1.68923
19,2.49076
20,0.861587
21,3.23062
22,3.85237
23,1.64193
24,2.46958
25,3.29504
26,2.35171
27,4.12858
28,3.89029
29,4.27878
30,0.633582
31,0.633926
32,3.31262
33,4.92585
34,1.01825
35,2.25553
36,4.81585
37,3.4641
38,1.40438
39,0.300342
40,1.20326
41,5.08104
42,5.35526
43,4.29787
44,0.128629
45,5.63115
46,0.492682
47,5.50078
48,3.9552
49,2.15056
50,3.78471
51,1.42138
52,9.37205
53,0.481477
54,3.10182
55,4.77322
56,3.98394
57,0.335213
58,1.26715
59,2.64293
60,0.699498
61,0.730522
62,5.79585
63,1.50845
64,7.82287
65,2.66051
66,2.21109
67,3.00182
68,2.9736
69,3.05277
70,1.00157
71,0.68286
72,1.30629
73,0.426346
74,2.32487
75,1.29722
76,4.11502
77,1.63756
78,2.89742
79,2.57414
80,1.70239
81,6.23898
82,1.41987
83,1.74149
84,3.28743
85,0.504625
86,1.24497
87,3.30617
88,2.59363
89,0.953243
90,9.60595
91,0.816698
92,3.04339
93,0.953753
94,3.00063
95,4.87072
96,3.48516
97,1.96232
98,4.9254
99,1.72893
100,0.857208
101,2.87515
102,1.3148
103,5.67992
104,2.49913
105,2.57907
106,1.4685
107,2.69034
108,0.839779
109,1.72779
110,2.0579
111,2.47929
112,1.1904
113,1.09766
114,1.42087
115,5.49814
116,1.10875
117,1.58315
118,0.584911
119,1.37239
120,6.1644
121,4.46245
122,1.63939
123,5.32739
124,0.721272
125,0.887243
126,0.0961087
127,1.88724
128,7.97049
129,3.02297
130,4.25945
131,4.65617
132,0.865806
133,6.29525
134,1.95277
135,3.71174
136,3.04087
137,1.27781
138,1.6332
139,1.18621
140,2.47805
141,5.54858
142,1.73424
143,1.29798
144,2.79003
145,1.45427
146,2.34007
147,2.1884
148,2.47936
149,2.85113
150,2.69289
151,0.014637
152,3.52097
153,1.51291
154,2.50784
155,1.11948
156,3.44906
157,0.945925
158,5.39371
159,2.50619
160,4.84854
161,2.17333
162,3.76279
163,0.7409
164,1.95333
165,1.05268
166,1.75839
167,2.06222
168,2.05968
169,0.595452
170,3.92429
171,10.3871
172,3.60658
173,4.49613
174,6.36331
175,2.58841
176,4.47909
177,1.44103
178,1.91304
179,4.05579
180,1.27813
181,1.75602
182,3.67435
183,0.701731
184,1.63294
185,6.7552
186,2.43576
187,0.834613
188,1.41867
189,0.98305
190,3.07841
191,0.407749
192,4.30334
193,1.72113
194,1.15729
195,5.38305
196,7.5057
197,1.17596
198,0.22475
199,1.15426
200,2.04722
201,2.97821
202,1.09289
203,1.68554
204,4.02337
205,0.937066
206,0.35689
207,1.49776
208,1.99122
209,3.48365
210,2.29741
211,2.27407
212,0.473486
213,1.0096
214,1.04081
215,3.40846
216,0.00337254
217,4.31779
218,1.3714
219,3.10783
220,2.68595
221,1.33627
222,1.49477
223,0.867384
224,1.10963
225,1.07538
226,2.82234
227,0.496399
228,1.37167
229,1.66832
230,4.05815
231,1.28043
232,8.15062
233,0.687792
234,5.30052
235,3.19113
236,2.34491
237,5.24226
238,1.54935
239,2.40454
240,3.4645
241,3.62525
242,0.338588
243,2.46708
244,1.49198
245,0.482647
246,1.69559
247,2.36438
248,2.00149
249,1.14825
250,3.39166
251,2.44799
252,1.46269
253,2.99672
254,1.61929
255,2.00356
256,2.135
257,3.38335
258,4.17487
259,0.236191
260,1.11433
261,0.583048
262,0.322333
263,4.16684
264,10.3558
265,3.78911
266,3.73868
267,0.561407
268,4.0158
269,1.32789
270,1.5111
271,1.93749
272,1.14076
273,1.34105
274,2.67804
275,1.26416
276,1.52781
277,0.832694
278,2.53441
279,2.95234
280,0.616342
281,5.96194
282,1.61942
283,7.64339
284,2.74056
285,0.67657
286,2.17009
287,6.04698
288,2.00874
289,6.22907
290,4.07488
291,1.50926
292,3.13592
293,2.46888
294,4.41336
