Atom id,Diffusion Coefficient (cm²/s)
1,1.72342
2,5.07528
3,2.20604
4,0.474819
5,4.16498
6,1.74093
7,4.89923
8,1.07756
9,2.33856
10,0.340559
11,0.276157
12,3.51623
13,1.35896
14,1.52836
15,1.33683
16,2.96293
17,1.24268
18,1.00008
19,3.69212
20,1.53721
21,2.95619
22,1.18239
23,6.50578
24,1.33822
25,6.71815
26,1.44222
27,1.61951
28,5.67071
29,1.25429
30,3.52181
31,1.859
32,3.58273
33,2.5019
34,2.29338
35,0.529816
36,3.1977
37,1.7393
38,1.53123
39,2.29461
40,3.23203
41,1.22551
42,1.16775
43,2.72314
44,8.59206
45,1.96218
46,3.96648
47,5.8895
48,5.10511
49,0.608431
50,1.9992
51,4.58404
52,2.36651
53,2.77062
54,2.39617
55,1.05955
56,3.01672
57,1.51481
58,7.35051
59,1.39167
60,0.692185
61,0.548338
62,2.60668
63,0.000501065
64,2.33251
65,0.699366
66,2.37507
67,10.359
68,0.663819
69,1.87428
70,3.19574
71,0.75991
72,0.901076
73,0.341295
74,4.18138
75,2.18012
76,0.493046
77,0.871489
78,4.23547
79,2.22503
80,0.541642
81,3.22772
82,5.68572
83,2.08277
84,1.94943
85,6.66844
86,1.05559
87,3.19835
88,1.05134
89,3.16822
90,4.0969
91,1.22773
92,1.92796
93,1.98037
94,4.23308
95,1.5804
96,1.65933
97,4.53353
98,1.43519
99,4.60377
100,2.67542
101,4.17641
102,1.69662
103,1.12162
104,4.78046
105,4.2848
106,7.11746
107,0.334125
108,2.47364
109,2.4754
110,0.315814
111,13.5543
112,0.840311
113,1.93754
114,0.20925
115,0.53942
116,1.24062
117,1.81108
118,6.78111
119,3.27936
120,4.74406
121,1.55454
122,1.00777
123,1.25298
124,1.6659
125,0.00285931
126,1.20712
127,0.559419
128,3.51959
129,0.958498
130,1.43112
131,3.29948
132,1.22689
133,1.55028
134,0.918663
135,5.64075
136,0.542069
137,2.64671
138,3.34152
139,2.36198
140,4.83829
141,0.254015
142,2.45352
143,1.04585
144,5.04371
145,3.73537
146,3.60458
147,1.33578
148,3.15394
149,4.04473
150,1.12708
151,1.32162
152,3.08475
153,1.60202
154,2.59405
155,7.85643
156,2.12787
157,2.73823
158,0.536737
159,1.36597
160,1.40275
161,1.6985
162,0.851968
163,0.89806
164,0.442475
165,1.74102
166,2.32111
167,1.36771
168,0.656931
169,1.45663
170,0.717686
171,2.06868
172,1.92099
173,1.50412
174,1.09242
175,3.21557
176,1.56469
177,2.90915
178,3.92326
179,0.610721
180,4.80628
181,5.39927
182,3.02132
183,7.92558
184,1.94904
185,3.5124
186,3.56662
187,1.36932
188,3.7848
189,0.990002
190,2.94381
191,8.77454
192,4.5557
193,7.39051
194,0.881471
195,1.76128
196,1.55504
197,3.17828
198,1.70019
199,1.09031
200,1.66739
201,3.22465
202,5.07195
203,1.4409
204,5.09177
205,0.749598
206,2.94368
207,0.552425
208,3.44794
209,2.28824
210,3.12623
211,1.33706
212,6.28546
213,4.19632
214,1.28271
215,0.384302
216,1.68166
217,1.64885
218,1.79919
219,2.12787
220,4.95838
221,1.11186
222,2.04464
223,7.10092
224,1.12165
225,4.98259
226,0.158095
227,3.39755
228,2.10405
229,2.12488
230,2.90607
231,2.20111
232,1.97853
233,1.99608
234,3.71111
235,5.48072
236,9.35494
237,1.4751
238,2.61542
239,7.41694
240,6.93726
241,1.18909
242,3.60713
243,6.19015
244,3.58289
245,9.23135
246,3.05446
247,0.198103
248,1.14802
249,6.2633
250,2.55694
251,0.371772
252,0.986735
253,0.562269
254,7.26377
255,11.5148
256,3.28214
257,5.82902
258,1.33469
259,0.229812
260,8.12314
261,6.33975
262,0.561709
263,0.221196
264,10.9465
265,1.00909
266,1.0378
267,0.253951
268,2.41205
269,1.77578
270,3.52334
271,1.88688
272,1.36977
273,1.56353
274,1.31953
275,1.50097
276,1.59579
277,1.2979
278,2.75848
279,2.37425
280,0.925685
281,1.80754
282,3.11746
283,3.67972
284,3.94908
285,1.11803
286,3.34253
287,2.92836
288,2.38504
289,0.838179
290,2.48047
291,4.02854
292,6.78048
293,0.460496
294,11.883
