Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.04505,0.683164,0.688156,0.673731,0.00691321,-0.0148541,-0.000372604
0.2,4.00962,1.35895,1.34875,1.30193,0.00960496,-0.0171624,0.0024763
0.3,5.9258,2.01627,2.00566,1.90388,0.0136093,-0.0201531,0.00817645
0.4,7.83252,2.67782,2.66218,2.49252,0.0162439,-0.00963018,0.000872188
0.5,9.73824,3.35268,3.30552,3.08005,0.0159382,0.00221136,-0.00426113
0.6,11.6176,4.0277,3.94631,3.6436,0.0226732,0.0212109,-0.012989
0.7,13.4926,4.69326,4.59521,4.20409,0.0265564,0.0475507,-0.018311
0.8,15.3687,5.37001,5.23048,4.76819,0.0268817,0.0803648,-0.0196968
0.9,17.2443,6.04861,5.86767,5.32801,0.0195053,0.115601,-0.0306101
1.0,19.1142,6.72014,6.51009,5.88393,0.015092,0.154565,-0.0414229
1.1,20.9913,7.39474,7.15904,6.43751,0.0109158,0.196853,-0.0553215
1.2,22.8691,8.05131,7.82323,6.99454,0.00681347,0.251427,-0.0718355
1.3,24.7241,8.69496,8.49466,7.53445,-0.00732117,0.30946,-0.0856294
1.4,26.551,9.31754,9.16085,8.07257,-0.0328932,0.37717,-0.0979771
1.5,28.3796,9.9573,9.82832,8.59402,-0.0535656,0.444398,-0.119285
1.6,30.1725,10.5918,10.4828,9.09792,-0.0829289,0.5036,-0.143204
1.7,31.9225,11.2117,11.1384,9.57239,-0.108996,0.554747,-0.171659
1.8,33.6692,11.8379,11.8006,10.0307,-0.131916,0.615404,-0.196359
1.9,35.4148,12.4587,12.4742,10.4818,-0.147507,0.683568,-0.226405
2.0,37.1815,13.082,13.1564,10.9431,-0.153507,0.742834,-0.242583
2.1,38.9343,13.6963,13.8437,11.3943,-0.161831,0.802278,-0.259
2.2,40.7138,14.3216,14.5425,11.8497,-0.144536,0.849996,-0.278664
2.3,42.4821,14.9459,15.237,12.2993,-0.128357,0.895544,-0.289409
2.4,44.261,15.5829,15.9329,12.7451,-0.0908649,0.936264,-0.305184
2.5,46.0426,16.2241,16.6406,13.178,-0.0618998,0.975783,-0.313972
2.6,47.8136,16.8434,17.3587,13.6116,-0.0288869,1.02745,-0.318658
2.7,49.6121,17.4752,18.0844,14.0525,-0.00666094,1.06927,-0.319947
2.8,51.3897,18.1128,18.787,14.4899,0.0205674,1.11891,-0.32661
2.9,53.1573,18.7471,19.4875,14.9227,0.0605228,1.14849,-0.333147
3.0,54.9168,19.3754,20.1931,15.3482,0.0975741,1.17943,-0.325075
3.1,56.672,19.9993,20.8988,15.7739,0.127618,1.21155,-0.315353
3.2,58.4194,20.6124,21.5974,16.2096,0.164024,1.25966,-0.31603
3.3,60.1502,21.2056,22.2834,16.6613,0.201622,1.30796,-0.332204
3.4,61.8802,21.794,22.9943,17.0919,0.240186,1.35503,-0.338579
3.5,63.5729,22.3903,23.678,17.5047,0.278691,1.40754,-0.329588
3.6,65.2381,22.9845,24.3402,17.9134,0.336616,1.47304,-0.307173
3.7,66.9082,23.5901,25.0186,18.2996,0.386231,1.54878,-0.298191
3.8,68.604,24.2047,25.7184,18.6809,0.433932,1.61655,-0.285955
3.9,70.3163,24.8239,26.4296,19.0627,0.484612,1.67087,-0.280346
4.0,71.9984,25.4228,27.1462,19.4294,0.55007,1.73582,-0.273261
4.1,73.721,26.0116,27.89,19.8193,0.603279,1.81062,-0.258287
4.2,75.4321,26.601,28.6336,20.1974,0.668887,1.88418,-0.242869
4.3,77.1353,27.1791,29.3921,20.5642,0.705947,1.95856,-0.251728
4.4,78.8878,27.7884,30.178,20.9213,0.748801,2.03842,-0.266993
4.5,80.6349,28.403,30.9492,21.2828,0.798863,2.12678,-0.280086
4.6,82.3929,29.0064,31.7244,21.6622,0.862908,2.21894,-0.295572
4.7,84.1062,29.5895,32.479,22.0376,0.934595,2.31782,-0.312325
4.8,85.7875,30.1754,33.2287,22.3834,0.989463,2.42388,-0.345768
4.9,87.4843,30.7709,33.9786,22.7347,1.02947,2.52298,-0.390882
5.0,89.1181,31.3443,34.7047,23.0691,1.07995,2.60553,-0.422245
5.1,90.8332,31.9297,35.4694,23.4341,1.12867,2.69719,-0.438254
5.2,92.6083,32.5476,36.2711,23.7896,1.17931,2.78981,-0.478087
5.3,94.3384,33.1198,37.0647,24.1538,1.21025,2.86912,-0.50933
5.4,96.0695,33.7172,37.8502,24.5021,1.23015,2.96513,-0.526566
5.5,97.7855,34.275,38.6628,24.8478,1.23128,3.04438,-0.554787
5.6,99.5582,34.8771,39.4774,25.2037,1.23208,3.1199,-0.589485
5.7,101.368,35.4914,40.2915,25.5852,1.20711,3.20675,-0.601079
5.8,103.188,36.1274,41.1139,25.9466,1.20218,3.30664,-0.601363
5.9,104.937,36.7578,41.8974,26.2818,1.19142,3.42786,-0.589062
6.0,106.652,37.3774,42.6538,26.621,1.15791,3.52405,-0.551893
6.1,108.386,37.992,43.443,26.951,1.13801,3.58594,-0.52569
6.2,110.129,38.6239,44.2534,27.2512,1.11388,3.624,-0.519789
6.3,111.831,39.2389,45.0485,27.5434,1.10493,3.67827,-0.494385
6.4,113.496,39.8525,45.832,27.8113,1.11327,3.73584,-0.483118
6.5,115.191,40.4659,46.6329,28.0921,1.13508,3.79732,-0.470018
6.6,116.796,41.1097,47.3992,28.2867,1.1534,3.86578,-0.465411
6.7,118.422,41.781,48.1672,28.474,1.15119,3.95798,-0.485344
6.8,120.004,42.4503,48.9129,28.6409,1.15809,4.05919,-0.516376
