Atom id,Diffusion Coefficient (cm²/s)
1,1.33445
2,1.23796
3,1.22368
4,3.84028
5,4.68188
6,0.669483
7,0.440381
8,1.15021
9,1.41546
10,2.73698
11,4.012
12,6.66817
13,1.71227
14,3.01395
15,4.02677
16,1.50263
17,0.223773
18,2.89551
19,1.17081
20,1.07215
21,0.842671
22,2.282
23,10.5069
24,3.64775
25,1.39311
26,0.490986
27,5.17189
28,4.57038
29,1.26318
30,1.60741
31,4.76309
32,1.10489
33,0.825871
34,1.45788
35,0.891347
36,0.559266
37,4.18531
38,2.16682
39,4.35122
40,5.65008
41,0.458469
42,2.39305
43,2.34457
44,6.06674
45,1.01701
46,3.63039
47,1.85579
48,3.63549
49,0.690154
50,1.26352
51,0.730848
52,0.536733
53,4.53359
54,2.36053
55,1.74045
56,3.54479
57,4.16591
58,1.13942
59,0.983796
60,1.26228
61,6.31477
62,6.33031
63,0.0080316
64,3.36581
65,1.24812
66,1.52798
67,2.35451
68,1.22601
69,4.47024
70,1.04315
71,0.481355
72,2.82457
73,4.04654
74,4.86305
75,7.66084
76,2.62169
77,7.8815
78,7.25205
79,1.13509
80,8.79145
81,3.54032
82,1.30161
83,3.47627
84,1.14524
85,3.40556
86,1.35977
87,0.524834
88,0.714656
89,5.53468
90,1.55648
91,7.70212
92,4.95258
93,2.24861
94,2.53692
95,2.2581
96,5.63988
97,0.514166
98,1.79586
99,3.73538
100,1.26656
101,0.842025
102,3.58073
103,3.95309
104,0.710235
105,0.432412
106,3.06864
107,0.807538
108,0.938196
109,2.64232
110,2.0375
111,5.51864
112,6.88609
113,0.73284
114,0.458589
115,1.47406
116,3.19432
117,1.15678
118,3.48214
119,4.21864
120,3.05012
121,0.514963
122,3.72304
123,2.44716
124,2.34469
125,2.17605
126,1.20177
127,1.52516
128,1.57573
129,1.85908
130,0.772168
131,3.02608
132,0.726874
133,1.44942
134,1.67959
135,7.75112
136,1.64151
137,6.40983
138,0.782109
139,3.00152
140,1.0937
141,0.75108
142,2.38631
143,2.57247
144,0.95872
145,1.06791
146,4.28114
147,1.55961
148,0.139971
149,1.53663
150,0.974582
151,0.919386
152,3.97
153,3.72706
154,2.8185
155,1.92231
156,1.97666
157,8.55501
158,0.175943
159,1.9966
160,1.84732
161,4.90901
162,1.52998
163,3.39849
164,3.19002
165,1.6207
166,1.09646
167,0.503331
168,3.62137
169,3.47427
170,12.2216
171,0.477145
172,6.7252
173,0.821588
174,0.73711
175,0.855492
176,2.34674
177,4.62511
178,2.87913
179,1.14573
180,1.64966
181,1.00409
182,3.86374
183,1.42677
184,0.527785
185,6.43755
186,10.4482
187,0.684845
188,4.29617
189,0.299499
190,1.89829
191,0.61485
192,2.13693
193,0.986945
194,0.970006
195,1.24616
196,0.469076
197,0.183766
198,0.581463
199,0.822787
200,1.99356
201,1.37592
202,7.42389
203,6.13051
204,0.29855
205,1.24655
206,4.41823
207,1.85134
208,6.28556
209,1.96215
210,0.279225
211,12.8102
212,1.47147
213,3.82986
214,4.46525
215,2.47504
216,0.000183076
217,4.81338
218,7.77484
219,6.61224
220,5.83504
221,3.68015
222,0.935145
223,1.45585
224,2.44389
225,3.58024
226,5.40973
227,2.47491
228,2.74588
229,2.47168
230,1.87181
231,1.77261
232,4.8078
233,3.61016
234,0.495894
235,1.37545
236,1.53398
237,0.775882
238,2.03614
239,1.03797
240,1.03092
241,4.61901
242,0.492974
243,2.41621
244,2.09364
245,2.09022
246,10.0024
247,0.502954
248,3.90737
249,2.62593
250,0.843848
251,1.47307
252,1.99516
253,5.84121
254,0.704147
255,1.8956
256,3.45273
257,4.24834
258,4.20609
259,1.30707
260,1.30561
261,0.948775
262,2.87756
263,0.886455
264,1.84422
265,3.87612
266,1.33146
267,3.88146
268,1.52964
269,4.66725
270,1.98856
271,0.832566
272,1.69727
273,2.38502
274,0.902379
275,1.27957
276,0.417863
277,6.22988
278,2.45035
279,2.21365
280,1.40971
281,0.855109
282,5.26009
283,2.72748
284,2.13084
285,1.30623
286,3.92515
287,3.39646
288,9.64601
289,1.07659
290,0.203348
291,3.34498
292,8.34885
293,2.58699
294,2.16052
