Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.08049,0.70312,0.700879,0.676491,0.0046206,0.000491262,-0.00305125
0.2,4.10024,1.39418,1.38474,1.32133,0.00490091,-0.00275508,-0.00540003
0.3,6.07492,2.06916,2.06541,1.94035,0.00821977,-0.00673736,-0.0136039
0.4,8.02275,2.73674,2.73845,2.54756,0.000496311,-0.012113,-0.0341883
0.5,9.9257,3.39051,3.4046,3.13059,-0.00549651,-0.0206083,-0.0515414
0.6,11.8099,4.04251,4.05315,3.71424,-0.0125646,-0.0276361,-0.0607672
0.7,13.6379,4.67727,4.69597,4.26461,-0.0202758,-0.0267319,-0.0694524
0.8,15.4547,5.30548,5.33408,4.81511,-0.018073,-0.0444453,-0.0674543
0.9,17.2525,5.93358,5.97263,5.34629,-0.0233652,-0.0647619,-0.0639215
1.0,19.0398,6.56343,6.61664,5.85973,-0.0278702,-0.0763964,-0.0581104
1.1,20.8301,7.20098,7.26993,6.35917,-0.0271948,-0.0903203,-0.057677
1.2,22.6129,7.84418,7.90671,6.86197,-0.0344512,-0.104823,-0.0560473
1.3,24.4113,8.50262,8.54777,7.36088,-0.043657,-0.118862,-0.0584463
1.4,26.2048,9.16385,9.1833,7.85763,-0.0456905,-0.125169,-0.0641595
1.5,27.9854,9.81943,9.81881,8.34717,-0.0542435,-0.133636,-0.0741901
1.6,29.7541,10.4648,10.458,8.83133,-0.0622399,-0.138195,-0.0744539
1.7,31.4903,11.1039,11.0992,9.28719,-0.070904,-0.147803,-0.0869837
1.8,33.2403,11.7612,11.7444,9.73466,-0.065862,-0.160622,-0.111584
1.9,34.9523,12.4065,12.3857,10.1602,-0.07596,-0.16997,-0.118772
2.0,36.6596,13.0454,13.0238,10.5904,-0.0797859,-0.177202,-0.139132
2.1,38.359,13.6776,13.6583,11.0231,-0.086026,-0.185878,-0.148063
2.2,40.0215,14.3016,14.2807,11.4391,-0.104752,-0.18823,-0.166011
2.3,41.6986,14.9186,14.9093,11.8707,-0.122493,-0.188143,-0.187285
2.4,43.4092,15.5495,15.5647,12.295,-0.128569,-0.181495,-0.21781
2.5,45.1195,16.1849,16.2112,12.7234,-0.139197,-0.174399,-0.247851
2.6,46.8168,16.811,16.8549,13.1509,-0.150646,-0.159915,-0.263797
2.7,48.5142,17.4326,17.5246,13.5569,-0.158349,-0.139272,-0.285136
2.8,50.2301,18.0757,18.2087,13.9457,-0.161285,-0.107799,-0.323522
2.9,51.94,18.7207,18.884,14.3353,-0.178981,-0.0808573,-0.352327
3.0,53.6487,19.3513,19.5683,14.7291,-0.198519,-0.0546268,-0.36634
3.1,55.3225,19.9643,20.2461,15.1122,-0.233618,-0.0259817,-0.37993
3.2,57.0337,20.5869,20.9227,15.5241,-0.260912,0.0261143,-0.393661
3.3,58.7809,21.2211,21.6092,15.9506,-0.277439,0.0823709,-0.409637
3.4,60.5396,21.8531,22.3185,16.368,-0.286574,0.124575,-0.425415
3.5,62.3118,22.5016,23.0352,16.7749,-0.298409,0.179944,-0.442765
3.6,64.0582,23.1513,23.7169,17.19,-0.320703,0.226437,-0.438817
3.7,65.7919,23.8003,24.4129,17.5787,-0.328503,0.265731,-0.430408
3.8,67.517,24.4286,25.1185,17.9699,-0.339228,0.298321,-0.422495
3.9,69.2485,25.066,25.8141,18.3684,-0.356465,0.32883,-0.414124
4.0,71.0057,25.7012,26.5241,18.7803,-0.395228,0.362665,-0.400156
4.1,72.7922,26.3475,27.2364,19.2083,-0.421532,0.379394,-0.380485
4.2,74.5556,27.0064,27.9353,19.6138,-0.433487,0.396829,-0.350359
4.3,76.2742,27.6544,28.6183,20.0015,-0.448834,0.438203,-0.319187
4.4,77.9324,28.2616,29.3076,20.3633,-0.469302,0.453544,-0.278899
4.5,79.5968,28.8772,29.9831,20.7365,-0.482107,0.4874,-0.222904
4.6,81.249,29.4903,30.666,21.0927,-0.492343,0.497508,-0.171733
4.7,82.9207,30.0973,31.366,21.4573,-0.491886,0.520509,-0.102786
4.8,84.5857,30.7027,32.0802,21.8028,-0.477602,0.527029,-0.0460238
4.9,86.2717,31.3361,32.7999,22.1358,-0.450107,0.527867,0.0135177
5.0,87.9855,31.975,33.5389,22.4715,-0.436932,0.540136,0.0767693
5.1,89.7072,32.626,34.287,22.7942,-0.431439,0.568072,0.135031
5.2,91.4266,33.2486,35.0579,23.1201,-0.419611,0.581293,0.217717
5.3,93.1516,33.8628,35.8531,23.4356,-0.424164,0.59002,0.324223
5.4,94.8523,34.4814,36.6397,23.7312,-0.414218,0.608986,0.427712
5.5,96.5211,35.0875,37.4229,24.0107,-0.408942,0.635928,0.518118
5.6,98.1747,35.6697,38.191,24.314,-0.407354,0.651146,0.590863
5.7,99.873,36.2768,38.9733,24.6229,-0.421088,0.668188,0.659174
5.8,101.539,36.8694,39.7581,24.9118,-0.441007,0.692683,0.738448
5.9,103.189,37.4604,40.5525,25.1759,-0.477316,0.721874,0.81424
6.0,104.85,38.0396,41.3743,25.4362,-0.541306,0.761039,0.878991
6.1,106.453,38.6036,42.182,25.6675,-0.598942,0.783984,0.92031
6.2,108.108,39.1683,43.0155,25.9243,-0.665007,0.840297,0.959909
6.3,109.725,39.7466,43.8358,26.1429,-0.728894,0.884557,1.01916
6.4,111.283,40.3411,44.6206,26.3214,-0.79224,0.912883,1.0723
6.5,112.936,40.9657,45.4704,26.4997,-0.830756,0.938072,1.11612
6.6,114.663,41.6308,46.3788,26.6539,-0.857225,0.957893,1.15782
6.7,116.394,42.324,47.2688,26.8015,-0.929013,1.02196,1.20037
6.8,118.091,43.005,48.1272,26.9591,-0.991781,1.09767,1.25836
6.9,119.779,43.6446,48.9982,27.1364,-1.05086,1.15121,1.3188
7.0,121.527,44.297,49.8898,27.3402,-1.11851,1.23114,1.35955
7.1,123.352,45.0111,50.8145,27.5267,-1.18304,1.35108,1.39243
7.2,125.22,45.7893,51.7142,27.7165,-1.21841,1.46209,1.39994
