Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.08533,0.714396,0.696748,0.67419,0.007495,-0.00756575,-0.00622603
0.2,4.11589,1.41551,1.38546,1.31492,0.00682058,-0.0296822,-0.0232788
0.3,6.11563,2.12307,2.04987,1.94269,-0.00160329,-0.0372924,-0.0496976
0.4,8.10176,2.8347,2.72094,2.54612,-0.0104065,-0.0513297,-0.0697372
0.5,10.0533,3.54012,3.3902,3.123,-0.0322613,-0.0550294,-0.0908094
0.6,11.9741,4.23611,4.04146,3.69658,-0.0456984,-0.0567557,-0.109199
0.7,13.8518,4.90851,4.68658,4.25667,-0.066063,-0.0573032,-0.124417
0.8,15.692,5.57541,5.31095,4.80566,-0.0806382,-0.050718,-0.139089
0.9,17.5225,6.24147,5.93524,5.34574,-0.100993,-0.0495559,-0.157735
1.0,19.3606,6.91462,6.56757,5.87841,-0.116526,-0.0397454,-0.178482
1.1,21.1856,7.58532,7.19931,6.40097,-0.133582,-0.022353,-0.209049
1.2,22.9918,8.25001,7.82567,6.91611,-0.160672,0.00370779,-0.237885
1.3,24.7956,8.9185,8.45202,7.42507,-0.188407,0.0333529,-0.261287
1.4,26.5796,9.57864,9.0788,7.92217,-0.216078,0.0688928,-0.278202
1.5,28.3713,10.2525,9.70659,8.41221,-0.247499,0.101318,-0.287939
1.6,30.137,10.9138,10.3298,8.89342,-0.279747,0.138728,-0.294395
1.7,31.8792,11.564,10.9504,9.36489,-0.307723,0.179729,-0.30403
1.8,33.6016,12.2103,11.5557,9.83557,-0.336347,0.223275,-0.309726
1.9,35.3367,12.8619,12.1849,10.2899,-0.378204,0.271165,-0.296741
2.0,37.05,13.5121,12.8071,10.7307,-0.421751,0.329076,-0.281422
2.1,38.7442,14.1387,13.4472,11.1584,-0.450997,0.373796,-0.273536
2.2,40.3979,14.7742,14.0782,11.5456,-0.474359,0.415743,-0.267688
2.3,42.0775,15.4278,14.7185,11.9311,-0.499136,0.464693,-0.26352
2.4,43.7643,16.0798,15.3582,12.3264,-0.534006,0.499716,-0.256169
2.5,45.4224,16.7218,15.9782,12.7225,-0.563321,0.536058,-0.261139
2.6,47.0673,17.3682,16.5967,13.1024,-0.603409,0.559023,-0.265046
2.7,48.6807,18.0026,17.2053,13.4728,-0.641927,0.588097,-0.28296
2.8,50.2745,18.6348,17.8079,13.8318,-0.684959,0.624929,-0.309121
2.9,51.8542,19.2623,18.4148,14.1771,-0.731531,0.663958,-0.344731
3.0,53.4216,19.8716,19.0147,14.5353,-0.781785,0.696517,-0.385404
3.1,54.9766,20.4708,19.6066,14.8992,-0.811947,0.741507,-0.423259
3.2,56.5266,21.053,20.2161,15.2574,-0.831824,0.79308,-0.456438
3.3,58.0501,21.6204,20.816,15.6137,-0.850888,0.854401,-0.487783
3.4,59.5667,22.2007,21.3902,15.9758,-0.8666,0.899046,-0.507821
3.5,61.038,22.7579,21.9396,16.3405,-0.881207,0.926894,-0.531804
3.6,62.5524,23.3255,22.4923,16.7347,-0.889866,0.952177,-0.552098
3.7,64.0463,23.8849,23.0552,17.1062,-0.882764,0.966444,-0.579213
