Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.082,0.71067,0.691709,0.67962,-0.00699346,0.00205387,-0.00772257
0.2,4.09406,1.40701,1.36093,1.32612,-0.00082686,-0.00500383,5.11659e-05
0.3,6.06735,2.08994,2.01909,1.95832,0.0141027,-0.00670764,0.0041425
0.4,8.02359,2.78067,2.6699,2.57302,0.0427486,-0.00365738,0.00697162
0.5,9.93846,3.46343,3.30776,3.16727,0.0818315,-0.000140039,0.00338891
0.6,11.8796,4.15631,3.96217,3.76113,0.121004,0.00126827,-0.00353903
0.7,13.7823,4.83885,4.61214,4.33127,0.166433,-0.0049727,0.00620006
0.8,15.6517,5.51636,5.25933,4.87603,0.220252,-0.0146236,0.0117061
0.9,17.5361,6.20462,5.90621,5.42531,0.286644,-0.023732,0.0189677
1.0,19.4365,6.90676,6.55737,5.9724,0.348606,-0.0278586,0.027593
1.1,21.3358,7.61916,7.21228,6.50437,0.405616,-0.0340528,0.0336781
1.2,23.2228,8.3234,7.87044,7.02894,0.461155,-0.036714,0.0418369
1.3,25.0833,9.01828,8.52763,7.53735,0.503274,-0.0472876,0.0519842
1.4,26.9367,9.7197,9.17416,8.04282,0.543769,-0.0539309,0.0574461
1.5,28.7741,10.4078,9.81942,8.54685,0.589876,-0.0537693,0.0597036
1.6,30.6006,11.1054,10.4648,9.03036,0.625069,-0.0475054,0.0641895
1.7,32.4227,11.8068,11.0996,9.51636,0.671016,-0.0387123,0.0711426
1.8,34.2126,12.5055,11.7171,9.99,0.717535,-0.0396252,0.0878143
1.9,36.0147,13.2117,12.3269,10.4761,0.769359,-0.045753,0.099105
2.0,37.8107,13.9102,12.9521,10.9483,0.824747,-0.0438942,0.107004
2.1,39.5943,14.5852,13.5842,11.4249,0.878472,-0.0374408,0.102609
2.2,41.3553,15.2649,14.2091,11.8813,0.925805,-0.0352436,0.0997415
2.3,43.1153,15.958,14.8408,12.3165,0.962106,-0.0280124,0.091877
2.4,44.8797,16.6357,15.4777,12.7664,0.989755,-0.0306087,0.0658002
2.5,46.6543,17.3244,16.1127,13.2172,1.03277,-0.043825,0.0419831
2.6,48.4278,18.0009,16.75,13.6769,1.06451,-0.0642181,0.0202429
2.7,50.1998,18.7002,17.3777,14.1219,1.11048,-0.0720049,-0.00888896
2.8,51.9765,19.4052,18.0247,14.5467,1.1394,-0.0733017,-0.0290328
2.9,53.7289,20.1084,18.6447,14.9758,1.16466,-0.0929624,-0.0472211
3.0,55.4464,20.8091,19.2533,15.3839,1.18905,-0.11546,-0.0691244
3.1,57.1815,21.5353,19.847,15.7992,1.22493,-0.126982,-0.0964226
3.2,58.8868,22.2512,20.4533,16.1824,1.28183,-0.143013,-0.120742
3.3,60.6044,22.9762,21.0728,16.5555,1.33365,-0.149938,-0.155106
3.4,62.3145,23.6855,21.688,16.9411,1.3912,-0.148138,-0.191412
3.5,64.0393,24.3946,22.3187,17.326,1.45465,-0.139245,-0.22569
3.6,65.7961,25.1392,22.9604,17.6965,1.50982,-0.132788,-0.253745
3.7,67.5456,25.8631,23.623,18.0596,1.5532,-0.129597,-0.282314
3.8,69.3192,26.6081,24.2911,18.4199,1.59998,-0.124437,-0.302912
3.9,71.0617,27.3473,24.9491,18.7653,1.63634,-0.137912,-0.314263
4.0,72.7753,28.0729,25.6028,19.0996,1.6814,-0.14377,-0.329526
4.1,74.4931,28.7957,26.2556,19.4418,1.72205,-0.129093,-0.350252
4.2,76.2042,29.5098,26.9097,19.7846,1.76282,-0.134043,-0.345059
4.3,77.9541,30.2442,27.5572,20.1527,1.81141,-0.14325,-0.339628
4.4,79.7453,30.9854,28.2027,20.5572,1.83904,-0.141266,-0.329224
4.5,81.5397,31.7353,28.8441,20.9604,1.87197,-0.134703,-0.308481
4.6,83.3543,32.5053,29.4873,21.3616,1.92155,-0.146713,-0.275199
4.7,85.1353,33.2575,30.1141,21.7637,1.95622,-0.156498,-0.240326
4.8,86.9131,34.0015,30.7407,22.1708,1.99588,-0.168039,-0.195243
4.9,88.6692,34.7605,31.3435,22.5652,2.03053,-0.160729,-0.137048
5.0,90.4058,35.5071,31.9473,22.9513,2.08134,-0.134348,-0.0887193
5.1,92.1709,36.2682,32.5645,23.3381,2.13616,-0.121638,-0.0275355
5.2,93.8999,37.0196,33.1666,23.7137,2.17705,-0.106524,0.0376279
5.3,95.5801,37.7734,33.7439,24.0627,2.25192,-0.0904081,0.0866266
5.4,97.2974,38.5463,34.309,24.4422,2.29059,-0.0803859,0.13532
5.5,99.0462,39.3445,34.8955,24.8063,2.36699,-0.0759601,0.171005
5.6,100.855,40.1781,35.4809,25.1961,2.43231,-0.0806795,0.192581
5.7,102.686,41.0251,36.0624,25.5989,2.48061,-0.0761773,0.234257
5.8,104.501,41.877,36.6604,25.9632,2.5476,-0.0735771,0.282064
5.9,106.296,42.7361,37.2843,26.2753,2.61683,-0.0878561,0.330038
6.0,108.106,43.5781,37.9191,26.6092,2.69184,-0.112372,0.368576
6.1,109.945,44.3881,38.5782,26.9785,2.78353,-0.162549,0.423185
6.2,111.792,45.186,39.2566,27.3494,2.89379,-0.195275,0.478997
6.3,113.55,45.9602,39.9149,27.6745,2.9925,-0.25717,0.535616
6.4,115.314,46.7771,40.5564,27.9809,3.08036,-0.324876,0.577199
6.5,117.064,47.603,41.1638,28.2969,3.17776,-0.361948,0.631392
6.6,118.808,48.402,41.7694,28.6368,3.27194,-0.387851,0.688753
6.7,120.537,49.2287,42.3544,28.9536,3.36137,-0.420704,0.759629
6.8,122.123,49.9943,42.9386,29.1901,3.47304,-0.455182,0.800377
6.9,123.678,50.7057,43.5553,29.417,3.57741,-0.446711,0.857699
7.0,125.345,51.4914,44.2034,29.6501,3.74345,-0.480902,0.912041
7.1,126.91,52.2499,44.7784,29.8814,3.92029,-0.531997,0.948292
7.2,128.49,53.0044,45.3684,30.1167,4.10419,-0.552042,0.988654
7.3,130.106,53.7661,45.9953,30.345,4.33318,-0.586315,1.0336
7.4,131.692,54.5223,46.6128,30.557,4.59829,-0.631931,1.09398
7.5,133.224,55.2307,47.1692,30.8239,4.85769,-0.63782,1.17275
7.6,134.805,55.9778,47.7438,31.0833,5.14275,-0.612352,1.21124
7.7,136.45,56.803,48.3386,31.3089,5.3975,-0.589304,1.23237
7.8,138.102,57.6237,48.9708,31.5079,5.67021,-0.520931,1.24784
7.9,139.719,58.4857,49.6093,31.6243,5.96618,-0.395835,1.2599
8.0,141.435,59.3604,50.3106,31.7639,6.23218,-0.263915,1.27118
8.1,143.049,60.242,50.8924,31.9148,6.35821,-0.126482,1.32128
8.2,144.602,61.1481,51.3773,32.077,6.44746,0.0301114,1.38501
8.3,146.236,62.119,51.9038,32.2131,6.53957,0.176535,1.49993
8.4,147.818,63.1248,52.5149,32.1785,6.65351,0.253359,1.63876
8.5,149.44,64.105,53.1293,32.206,6.71709,0.325651,1.77382
8.6,151.102,65.2,53.6613,32.2406,6.77617,0.361747,1.85656
8.7,152.923,66.46,54.1112,32.3517,6.97004,0.370419,1.8165
8.8,154.794,67.7701,54.581,32.4431,7.2007,0.331316,1.74253
8.9,156.584,69.0188,54.9241,32.6415,7.43131,0.34122,1.65331
9.0,158.437,70.2929,55.3882,32.7561,7.68982,0.28293,1.54722
9.1,160.177,71.5884,55.8067,32.7821,7.92269,0.132889,1.42998
9.2,161.903,72.7774,56.3179,32.8075,8.26172,0.0500952,1.22637
9.3,163.291,73.9692,56.6293,32.6927,8.51884,-0.0573284,1.02348
9.4,164.927,75.1784,57.0711,32.6775,8.79572,-0.195629,0.862939
9.5,166.522,76.2831,57.519,32.7195,9.0581,-0.261293,0.77807
9.6,167.804,77.2374,57.8189,32.7476,9.34239,-0.160711,0.813395
9.7,169.165,78.126,58.2612,32.7774,9.60953,-0.105715,0.872797
9.8,170.745,79.0651,58.5639,33.1156,10.0518,-0.397601,0.772765
9.9,171.622,80.0807,58.0628,33.4789,10.3571,-0.654011,0.770704
10.0,173.217,82.0786,58.2604,32.8785,10.942,-1.04398,1.0164
