Atom id,Diffusion Coefficient (cm²/s)
1,5.24205
2,1.07336
3,4.82751
4,0.335411
5,2.69565
6,1.3642
7,4.27301
8,2.20867
9,0.124468
10,0.159783
11,4.85636
12,2.71591
13,0.343536
14,1.12015
15,0.65351
16,3.91142
17,5.74159
18,2.26429
19,0.0874023
20,2.71443
21,2.44075
22,1.04825
23,1.23379
24,1.50061
25,7.15734
26,0.841942
27,0.315337
28,1.09545
29,1.50141
30,0.442122
31,2.79554
32,6.62566
33,3.22447
34,0.772651
35,0.277515
36,0.667633
37,3.70584
38,9.22053
39,1.15589
40,0.73622
41,1.89655
42,0.565471
43,1.52093
44,2.41444
45,7.10154
46,9.56321
47,2.78948
48,1.33867
49,0.306115
50,3.7102
51,2.04217
52,5.4976
53,3.27222
54,4.76554
55,2.57582
56,5.58857
57,0.43401
58,2.27824
59,1.33564
60,3.42843
61,2.30287
62,5.98018
63,0.717863
64,3.3189
65,1.94858
66,3.27117
67,0.514287
68,1.24683
69,0.658981
70,1.96648
71,3.39173
72,3.71424
73,2.15868
74,1.4467
75,1.4657
76,0.587489
77,2.53839
78,0.310036
79,0.968876
80,7.2515
81,1.75566
82,3.33896
83,1.48626
84,0.773528
85,1.42561
86,1.3746
87,1.4469
88,0.761546
89,0.23104
90,4.01747
91,1.02691
92,1.9396
93,1.74034
94,2.53985
95,1.99491
96,1.20868
97,2.01559
98,2.81589
99,2.10617
100,0.228229
101,0.908756
102,5.86811
103,1.30797
104,1.87662
105,21.4384
106,5.35208
107,1.84887
108,0.854484
109,4.46684
110,1.3854
111,1.72007
112,0.88239
113,9.62991
114,3.50679
115,6.62446
116,5.04919
117,5.0092
118,3.1847
119,3.57703
120,4.25986
121,0.904151
122,1.88899
123,4.11434
124,1.61537
125,0.915494
126,4.84451
127,1.40183
128,4.33179
129,0.759879
130,5.53628
131,3.19076
132,1.16916
133,1.25802
134,2.90523
135,2.36114
136,3.43832
137,4.34236
138,2.31274
139,6.76044
140,5.4814
141,0.839335
142,6.3128
143,1.57169
144,3.26831
145,2.00348
146,0.422818
147,8.86209
148,1.02317
149,0.950998
150,1.65655
151,1.99887
152,2.38187
153,2.6666
154,0.946786
155,10.3722
156,3.8841
157,1.09625
158,3.90336
159,4.14365
160,3.66011
161,3.06377
162,2.37731
163,2.5477
164,1.19811
165,5.52184
166,0.707066
167,0.725864
168,0.638137
169,2.36755
170,1.50132
171,4.67587
172,5.19944
173,0.834383
174,3.5951
175,2.7003
176,6.35324
177,2.41203
178,3.2025
179,1.8378
180,6.78565
181,3.96536
182,0.864546
183,2.4108
184,4.31237
185,0.977335
186,3.55697
187,1.89494
188,6.05051
189,5.15614
190,1.49125
191,2.10285
192,2.31242
193,0.306515
194,1.96975
195,1.97909
196,1.34682
197,2.32642
198,2.986
199,3.48681
200,2.9219
201,2.14915
202,1.53081
203,1.39555
204,8.36827
205,1.45372
206,4.41519
207,1.13298
208,0.720537
209,5.03404
210,3.67692
211,2.32549
212,2.3469
213,2.32326
214,8.03443
215,1.50345
216,0.860928
217,2.187
218,0.693032
219,3.19544
220,2.20289
221,0.373137
222,1.63547
223,3.26829
224,6.32682
225,4.35021
226,2.00744
227,8.73428
228,2.47831
229,2.53669
230,8.58884
231,4.58545
232,0.991824
233,3.9067
234,2.89184
235,3.85609
236,1.77078
237,3.13055
238,3.04654
239,1.57358
240,1.36938
241,5.60685
242,2.27315
243,1.12555
244,0.460098
245,4.21579
246,0.757054
247,0.489511
248,1.61429
249,1.36443
250,5.29058
251,4.64032
252,2.82414
253,1.22345
254,1.72086
255,4.25514
256,3.86548
257,2.26086
258,0.936617
259,1.50161
260,2.38345
261,2.62413
262,1.4956
263,3.22607
264,5.38088
265,0.552228
266,1.13457
267,2.06853
268,2.83171
269,0.00502182
270,0.132686
271,1.48278
272,3.29925
273,6.73942
274,0.751801
275,0.64227
276,1.165
277,4.86492
278,4.6153
279,4.25799
280,1.98258
281,3.77476
282,2.28913
283,1.87892
284,2.27711
285,1.79665
