Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.07552,0.697352,0.705059,0.673107,0.00444748,-0.0077106,-0.0056423
0.2,4.10069,1.37953,1.40398,1.31718,0.00504184,-0.0173534,-0.00932597
0.3,6.06823,2.05195,2.08638,1.9299,0.00351356,-0.025905,-0.00222243
0.4,8.02238,2.73013,2.78132,2.51093,0.00602324,-0.0295115,0.00950645
0.5,9.93045,3.39678,3.45185,3.08181,0.0207085,-0.0361557,0.01725
0.6,11.8364,4.06572,4.11023,3.66044,0.038933,-0.034449,0.0189557
0.7,13.7314,4.74199,4.77007,4.21935,0.0551289,-0.0257537,0.021279
0.8,15.6145,5.42344,5.42845,4.76259,0.0636997,-0.0301445,0.0247717
0.9,17.4881,6.09155,6.09068,5.30586,0.0752713,-0.0261447,0.0162776
1.0,19.3616,6.75848,6.75865,5.84445,0.0939524,-0.0155338,0.0134985
1.1,21.2176,7.42621,7.42054,6.37084,0.0980662,0.00234721,0.0148681
1.2,23.0545,8.09382,8.07788,6.88279,0.0899955,0.0295257,0.0362136
1.3,24.8882,8.75832,8.74644,7.38341,0.0903913,0.0507933,0.0579113
1.4,26.7141,9.43325,9.40428,7.87653,0.0910501,0.0552427,0.0773209
1.5,28.5206,10.0995,10.0613,8.3598,0.100291,0.058156,0.103922
1.6,30.3242,10.7574,10.7257,8.84109,0.10361,0.066356,0.131137
1.7,32.1229,11.4188,11.3817,9.32232,0.118354,0.0668763,0.161062
1.8,33.8903,12.0599,12.0427,9.78768,0.12767,0.0673597,0.188562
1.9,35.6395,12.706,12.7076,10.2259,0.1312,0.0662064,0.21805
2.0,37.4058,13.3489,13.3882,10.6687,0.131325,0.0563063,0.250606
2.1,39.1622,13.9958,14.0701,11.0962,0.13276,0.040638,0.27915
2.2,40.907,14.6386,14.7705,11.4978,0.13794,0.037953,0.311641
2.3,42.6303,15.2756,15.4658,11.8889,0.12877,0.0283477,0.365896
2.4,44.3432,15.915,16.1688,12.2595,0.126848,0.0371326,0.41084
2.5,46.0369,16.5642,16.8614,12.6113,0.129655,0.0370465,0.460531
2.6,47.7564,17.2309,17.5561,12.9695,0.12357,0.0367212,0.508968
2.7,49.4815,17.9065,18.2537,13.3213,0.120517,0.0260995,0.559744
2.8,51.2001,18.5686,18.9408,13.6907,0.104783,0.0153285,0.613749
2.9,52.8943,19.2179,19.6294,14.047,0.0881054,0.0129946,0.657913
3.0,54.5673,19.8652,20.3075,14.3946,0.0657436,-0.000805853,0.706959
3.1,56.2165,20.509,20.9817,14.7259,0.0438796,-0.0179291,0.757571
3.2,57.8385,21.1651,21.6393,15.0341,0.0234248,-0.0389744,0.809993
3.3,59.5182,21.8592,22.3078,15.3512,-0.000696806,-0.0596166,0.848463
3.4,61.1899,22.5417,22.9706,15.6775,-0.016033,-0.0837236,0.885276
3.5,62.8863,23.2393,23.6444,16.0027,-0.0124823,-0.099407,0.935803
3.6,64.5794,23.9284,24.3111,16.34,-0.00698068,-0.120498,0.987247
3.7,66.2648,24.6261,24.979,16.6597,-0.00317788,-0.141581,1.03954
3.8,67.9676,25.335,25.6631,16.9695,-0.00750929,-0.164459,1.09493
3.9,69.6474,26.0394,26.3182,17.2898,-0.0100611,-0.164743,1.13539
4.0,71.3495,26.745,26.9892,17.6153,-0.0324237,-0.158138,1.17968
4.1,73.0509,27.4687,27.6835,17.8987,-0.0584169,-0.139931,1.20865
4.2,74.7216,28.1911,28.3663,18.1642,-0.0736247,-0.12487,1.24795
4.3,76.4072,28.9342,29.0393,18.4336,-0.0801161,-0.107067,1.2804
4.4,78.0764,29.6851,29.6947,18.6966,-0.0749275,-0.0978036,1.30512
4.5,79.713,30.4172,30.3286,18.9672,-0.0577382,-0.101604,1.34002
4.6,81.3276,31.1366,30.9661,19.2249,-0.0458357,-0.107874,1.36651
4.7,82.9432,31.8711,31.6008,19.4714,-0.0202064,-0.0957821,1.3791
4.8,84.5042,32.5784,32.2394,19.6864,0.00613396,-0.104046,1.39116
4.9,86.0979,33.314,32.8888,19.895,0.0386132,-0.125238,1.37985
5.0,87.7115,34.074,33.5337,20.1038,0.0928735,-0.14696,1.38038
5.1,89.3037,34.8276,34.1792,20.2969,0.139002,-0.185833,1.39772
5.2,90.8683,35.5555,34.8384,20.4743,0.157458,-0.225338,1.4053
5.3,92.4163,36.2539,35.5126,20.6498,0.162676,-0.251928,1.39994
5.4,94.0063,36.9872,36.2079,20.8112,0.152612,-0.273628,1.401
5.5,95.5357,37.681,36.8761,20.9785,0.152555,-0.282315,1.40327
5.6,97.0523,38.3388,37.5663,21.1471,0.157309,-0.299167,1.41411
5.7,98.6385,38.9971,38.3244,21.317,0.179836,-0.362337,1.44333
