Atom id,Diffusion Coefficient (cm²/s)
1,0.751487
2,4.06609
3,1.62894
4,0.37009
5,1.75896
6,1.52139
7,8.85882
8,3.45779
9,2.02281
10,4.38053
11,2.27997
12,0.508929
13,0.538146
14,4.34983
15,1.63058
16,0.6812
17,0.75225
18,12.9145
19,2.71138
20,1.09585
21,1.21561
22,5.76429
23,5.92805
24,6.3523
25,1.53924
26,3.7683
27,2.40368
28,6.60325
29,0.325655
30,6.75384
31,3.07371
32,1.64452
33,2.3135
34,1.02581
35,3.79181
36,1.7593
37,2.34424
38,7.63692
39,4.38544
40,1.77005
41,0.872386
42,4.63423
43,1.46803
44,3.63417
45,0.976724
46,3.28807
47,2.4201
48,9.23891
49,3.86815
50,7.73701
51,6.48356
52,2.55401
53,0.708705
54,4.86945
55,3.86304
56,1.27139
57,2.26807
58,0.322945
59,3.43659
60,0.396063
61,0.841946
62,7.43913
63,3.37772
64,0.916434
65,2.41289
66,0.608931
67,0.638836
68,0.248428
69,0.832691
70,2.23352
71,2.05993
72,0.101237
73,2.36048
74,1.21451
75,1.79803
76,1.22242
77,9.99897
78,1.79237
79,0.865474
80,3.79624
81,1.83088
82,2.49469
83,2.20591
84,2.10139
85,1.14712
86,6.22631
87,2.86233
88,1.134
89,1.96325
90,2.90647
91,1.48814
92,3.97479
93,1.55636
94,1.12835
95,1.03123
96,0.73003
97,1.96645
98,0.854101
99,2.2877
100,4.65471
101,2.35821
102,5.66281
103,0.552466
104,1.78704
105,1.1972
106,3.12711
107,1.19703
108,0.938383
109,1.48183
110,1.68229
111,1.02499
112,0.57025
113,2.13163
114,4.75375
115,3.31465
116,2.62342
117,1.83364
118,1.57545
119,0.549371
120,1.91009
121,0.367204
122,0.729091
123,2.96484
124,2.75822
125,2.48319
126,0.00322341
127,4.11059
128,1.34063
129,4.58109
130,12.0776
131,3.83236
132,1.11013
133,0.528997
134,9.31392
135,0.970555
136,1.90522
137,0.943652
138,1.86226
139,5.89431
140,1.10282
141,1.58949
142,5.15579
143,7.0585
144,3.28
145,1.9242
146,3.6903
147,3.81879
148,8.7324
149,1.35098
150,2.62825
151,1.38763
152,0.862473
153,1.35781
154,1.28569
155,2.67544
156,0.534577
157,6.17132
158,1.42059
159,3.53572
160,0.349629
161,1.57989
162,1.2139
163,1.9986
164,7.09036
165,8.46865
166,5.85968
167,4.05875
168,3.60557
169,5.35457
170,4.8066
171,2.92725
172,3.08417
173,3.12174
174,0.606891
175,1.08575
176,0.775853
177,2.25271
178,4.62264
179,2.9131
180,3.26322
181,2.19714
182,0.318978
183,2.08766
184,5.08965
185,3.3225
186,1.61089
187,5.84331
188,5.81437
189,4.01823
190,2.34766
191,0.770611
192,1.41445
193,3.21224
194,7.39379
195,1.28988
196,6.49324
197,2.27465
198,6.91881
199,0.510657
200,1.67361
201,1.68376
202,2.43388
203,8.08698
204,3.44935
205,5.08294
206,1.98897
207,0.724092
208,0.129709
209,0.639081
210,0.804132
211,2.785
212,1.34371
213,1.0807
214,4.54264
215,0.764066
216,0.931248
217,1.18387
218,3.66669
219,2.7586
220,2.70847
221,2.65322
222,1.9606
223,1.87924
224,3.34169
225,13.7384
226,4.31478
227,4.36367
228,5.0899
229,1.30434
230,2.31688
231,5.3382
232,0.427983
233,1.17305
234,1.88185
235,1.74897
236,2.46774
237,2.22628
238,4.98993
239,2.20397
240,2.08397
241,2.97627
242,3.19321
243,1.42421
244,5.49322
245,3.21628
246,2.44615
247,0.818531
248,3.29108
249,0.674355
250,0.0513391
251,1.44577
252,1.24618
253,0.921385
254,2.91313
255,2.14922
256,4.49308
257,1.4294
258,1.81228
259,0.43837
260,0.477869
261,2.67497
262,2.06487
263,3.45214
264,1.37333
265,2.7253
266,0.0435501
267,4.4784
268,2.01265
269,6.61193
270,1.45984
271,4.62673
272,0.654685
273,3.95166
274,3.1445
275,3.84334
276,0.719895
277,0.305685
278,2.40473
279,3.28522
280,3.37316
281,0.873828
282,0.969122
283,1.32622
284,2.14901
285,4.65697
