Atom id,Diffusion Coefficient (cm²/s)
1,2.09504
2,1.22295
3,5.92973
4,7.94078
5,0.67315
6,0.479662
7,2.16541
8,1.11636
9,1.1329
10,1.54261
11,5.01246
12,2.64725
13,1.06515
14,3.41148
15,1.97483
16,0.895429
17,1.71989
18,1.15791
19,2.90681
20,1.5519
21,2.68418
22,0.37665
23,9.95495
24,5.41179
25,1.00375
26,5.21404
27,3.68675
28,7.56287
29,0.777876
30,5.96212
31,2.10424
32,1.85091
33,0.515235
34,0.555448
35,5.06038
36,2.11775
37,7.45349
38,5.53459
39,0.778025
40,7.62851
41,1.34311
42,0.303845
43,3.40896
44,1.0353
45,1.41795
46,3.1319
47,1.85614
48,2.96589
49,1.05706
50,2.13982
51,0.545685
52,0.371715
53,8.64106
54,6.29934
55,0.427859
56,1.78915
57,1.24396
58,0.715196
59,5.19942
60,0.43958
61,1.60674
62,3.65459
63,3.35748
64,1.53871
65,1.24047
66,1.33835
67,4.20158
68,1.62873
69,5.30028
70,1.82563
71,0.780832
72,3.27087
73,2.4509
74,0.980242
75,0.795394
76,1.44667
77,3.55313
78,3.07495
79,0.457931
80,7.131
81,2.04965
82,1.2657
83,0.294641
84,1.73985
85,1.06102
86,0.212272
87,5.4465
88,0.856683
89,2.25446
90,5.55205
91,7.00883
92,4.19525
93,1.71597
94,2.31053
95,0.646661
96,0.480522
97,5.11442
98,1.71798
99,2.82739
100,4.53354
101,2.07125
102,0.292805
103,0.907477
104,5.32107
105,1.31747
106,2.76042
107,3.54381
108,0.514098
109,1.6518
110,3.48983
111,13.4616
112,1.02648
113,4.57323
114,3.92355
115,6.63464
116,0.402138
117,0.280517
118,4.47622
119,8.46381
120,3.22485
121,3.46602
122,1.73657
123,2.91944
124,1.18779
125,1.38033
126,3.72653
127,1.65808
128,4.87902
129,2.51874
130,0.40262
131,2.83276
132,0.391078
133,5.08219
134,3.36362
135,8.11105
136,5.55423
137,2.65295
138,3.13889
139,1.37845
140,5.95685
141,1.33216
142,0.961809
143,2.37857
144,1.16261
145,3.2937
146,7.10325
147,0.470285
148,3.03735
149,6.46766
150,5.76729
151,4.05144
152,1.85145
153,2.97422
154,1.66135
155,4.82662
156,0.647675
157,1.34218
158,4.2688
159,0.578821
160,4.19095
161,3.12332
162,1.37301
163,2.53084
164,1.7083
165,3.97488
166,2.27505
167,1.37891
168,0.0719781
169,1.78901
170,7.02663
171,10.9696
172,0.405165
173,4.65566
174,1.65316
175,3.88598
176,1.8048
177,2.23279
178,2.96912
179,1.34064
180,2.50963
181,3.61089
182,0.356034
183,0.569155
184,2.95318
185,3.01221
186,3.42003
187,4.18882
188,4.34191
189,4.93348
190,2.09985
191,1.43804
192,0.0661587
193,3.81177
194,4.71478
195,2.79634
196,9.3544
197,3.90713
198,0.214134
199,9.07669
200,1.97934
201,1.38719
202,1.05621
203,1.23857
204,0.529569
205,6.66731
206,5.09452
207,7.78044
208,4.66462
209,1.79501
210,0.975445
211,1.06955
212,1.862
213,3.6943
214,5.14341
215,13.8156
216,1.05454
217,7.57961
218,1.20425
219,3.5466
220,1.78553
221,2.23181
222,0.383735
223,2.91111
224,0.549844
225,3.569
226,9.5916
227,0.895092
228,3.90821
229,2.46469
230,0.839242
231,1.2932
232,1.88022
233,6.01949
234,0.967289
235,1.8468
236,0.599778
237,2.76201
238,8.86091
239,1.42208
240,2.74527
241,1.07492
242,3.53434
243,3.26468
244,1.54626
245,4.55227
246,0.298047
247,3.68606
248,1.46874
249,2.12024
250,8.97696
251,0.330692
252,0.416955
253,1.17899
254,2.34849
255,3.60645
256,4.7977
257,3.29067
258,0.0427869
259,2.9097
260,0.00622722
261,4.93237
262,5.17057
263,2.63394
264,4.35565
265,0.193926
266,1.8578
267,6.48346
268,1.50479
269,3.24976
270,6.16701
271,1.07281
272,1.75508
273,0.999727
274,1.98585
275,0.505876
276,0.629241
277,1.63172
278,3.98921
279,1.31872
280,3.98242
281,1.68915
282,2.662
283,1.69349
284,4.51277
285,4.0774
