Bins,Frequency,Density,Cumulative density
0.0,166,0.005824561403508772,0.005824561403508772
0.0223396,77,0.002701754385964912,0.008526315789473684
0.0446792,58,0.0020350877192982456,0.01056140350877193
0.0670188,48,0.0016842105263157896,0.01224561403508772
0.0893584,55,0.0019298245614035089,0.014175438596491228
0.111698,64,0.002245614035087719,0.016421052631578947
0.1340376,54,0.001894736842105263,0.01831578947368421
0.1563772,67,0.0023508771929824563,0.020666666666666667
0.1787168,82,0.0028771929824561405,0.023543859649122808
0.20105640000000002,92,0.0032280701754385964,0.026771929824561405
0.223396,82,0.0028771929824561405,0.029649122807017547
0.2457356,90,0.003157894736842105,0.03280701754385965
0.2680752,102,0.0035789473684210526,0.0363859649122807
0.29041480000000003,119,0.004175438596491228,0.04056140350877193
0.3127544,123,0.00431578947368421,0.04487719298245614
0.335094,118,0.004140350877192982,0.049017543859649126
0.3574336,123,0.00431578947368421,0.05333333333333334
0.37977320000000003,130,0.004561403508771929,0.05789473684210526
0.40211280000000005,124,0.004350877192982456,0.062245614035087715
0.4244524,124,0.004350877192982456,0.06659649122807017
0.446792,131,0.004596491228070175,0.07119298245614034
0.46913160000000004,131,0.004596491228070175,0.07578947368421052
0.4914712,137,0.004807017543859649,0.08059649122807017
0.5138108,151,0.005298245614035088,0.08589473684210526
0.5361504,155,0.00543859649122807,0.09133333333333334
0.55849,150,0.005263157894736842,0.09659649122807018
0.5808296000000001,171,0.006,0.10259649122807019
0.6031692000000001,162,0.00568421052631579,0.10828070175438598
0.6255088,177,0.006210526315789474,0.11449122807017545
0.6478484,171,0.006,0.12049122807017545
0.670188,149,0.005228070175438596,0.12571929824561406
0.6925276,154,0.005403508771929824,0.1311228070175439
0.7148672,159,0.005578947368421052,0.13670175438596494
0.7372068,137,0.004807017543859649,0.14150877192982458
0.7595464000000001,167,0.005859649122807018,0.1473684210526316
0.7818860000000001,163,0.0057192982456140355,0.15308771929824563
0.8042256000000001,171,0.006,0.15908771929824564
0.8265652,186,0.006526315789473684,0.16561403508771932
0.8489048,174,0.006105263157894737,0.17171929824561405
0.8712444,177,0.006210526315789474,0.17792982456140352
0.893584,183,0.006421052631578947,0.18435087719298246
0.9159236000000001,183,0.006421052631578947,0.1907719298245614
0.9382632000000001,179,0.006280701754385965,0.19705263157894737
0.9606028000000001,184,0.006456140350877193,0.20350877192982456
0.9829424,175,0.0061403508771929825,0.20964912280701753
1.005282,178,0.006245614035087719,0.21589473684210525
1.0276216,175,0.0061403508771929825,0.22203508771929822
1.0499612,181,0.006350877192982456,0.2283859649122807
1.0723008,151,0.005298245614035088,0.23368421052631577
1.0946404,188,0.006596491228070175,0.24028070175438596
1.11698,173,0.006070175438596491,0.24635087719298246
1.1393196,175,0.0061403508771929825,0.25249122807017543
1.1616592000000001,150,0.005263157894736842,0.2577543859649123
1.1839988000000001,177,0.006210526315789474,0.2639649122807018
1.2063384000000001,164,0.005754385964912281,0.2697192982456141
1.2286780000000002,178,0.006245614035087719,0.2759649122807018
1.2510176,143,0.005017543859649123,0.28098245614035094
