Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.11917,0.720193,0.711714,0.687266,0.00207357,-0.0025205,-0.00344416
0.2,4.17262,1.42133,1.41453,1.33676,0.00776861,-0.000783317,-0.00747299
0.3,6.2228,2.13141,2.10778,1.9836,0.0221506,-0.000836846,-0.00284361
0.4,8.27379,2.84114,2.80537,2.62728,0.0458632,0.00476563,0.00213262
0.5,10.2644,3.53959,3.48767,3.23717,0.0593458,0.0179838,0.00627861
0.6,12.2344,4.24518,4.15414,3.83511,0.0779175,0.0257426,0.0152799
0.7,14.1881,4.95178,4.81627,4.42004,0.104561,0.0375284,0.0360991
0.8,16.1,5.64799,5.47454,4.97747,0.122797,0.0486971,0.0502071
0.9,18.0146,6.3493,6.14911,5.51621,0.138579,0.0528371,0.0574428
1.0,19.9369,7.06881,6.81428,6.05386,0.155865,0.0584939,0.0572818
1.1,21.8359,7.7834,7.48517,6.56731,0.172318,0.0620856,0.0581458
1.2,23.7121,8.49991,8.15137,7.06078,0.200425,0.0678091,0.0537026
1.3,25.5879,9.21656,8.83089,7.54043,0.238296,0.0649795,0.0475359
1.4,27.4123,9.92366,9.48772,8.00092,0.273213,0.0676505,0.036183
1.5,29.2052,10.627,10.1264,8.4519,0.311631,0.0740133,0.00824478
1.6,30.964,11.3268,10.7522,8.88507,0.347211,0.0857622,-0.0307772
1.7,32.7195,12.0232,11.4005,9.2959,0.404424,0.0883821,-0.0718779
1.8,34.469,12.7125,12.047,9.70947,0.465188,0.0953127,-0.101744
1.9,36.2593,13.4205,12.7129,10.1259,0.514803,0.12199,-0.130685
2.0,38.0464,14.1283,13.3854,10.5326,0.557311,0.14212,-0.154634
2.1,39.8624,14.8538,14.0611,10.9475,0.593993,0.165036,-0.173199
2.2,41.6311,15.5699,14.7084,11.3528,0.622569,0.183022,-0.199791
2.3,43.4106,16.2888,15.3875,11.7343,0.641403,0.203299,-0.225426
2.4,45.188,17.0173,16.0649,12.1057,0.664642,0.213149,-0.246718
2.5,47.0014,17.7578,16.7555,12.488,0.698508,0.212094,-0.267356
2.6,48.7922,18.4827,17.4576,12.8519,0.742924,0.207677,-0.273712
2.7,50.6129,19.2338,18.1617,13.2175,0.778353,0.18809,-0.281631
2.8,52.4089,19.987,18.8523,13.5695,0.7986,0.181072,-0.293815
2.9,54.2071,20.7556,19.5421,13.9094,0.818089,0.159462,-0.301114
3.0,55.9753,21.5243,20.2028,14.2481,0.844966,0.138126,-0.299922
3.1,57.7058,22.2652,20.854,14.5866,0.877322,0.108913,-0.313516
3.2,59.3915,22.9802,21.4952,14.9161,0.909178,0.0809244,-0.335276
3.3,61.0477,23.6939,22.1159,15.2379,0.948255,0.0563449,-0.36107
3.4,62.7042,24.403,22.7378,15.5633,0.986443,0.0250037,-0.367616
3.5,64.322,25.1054,23.3574,15.8592,1.00833,-0.000486255,-0.377535
3.6,65.9496,25.8189,23.9794,16.1514,1.03136,-0.00850032,-0.389769
3.7,67.5784,26.5148,24.6218,16.4418,1.06538,-0.0128435,-0.40613
3.8,69.1905,27.1977,25.2466,16.7462,1.09886,-0.0219223,-0.42262
3.9,70.8251,27.877,25.8957,17.0524,1.14502,-0.0302803,-0.448407
4.0,72.4822,28.5694,26.56,17.3528,1.19128,-0.0292515,-0.467844
4.1,74.1214,29.2422,27.2198,17.6593,1.22679,-0.0418923,-0.493746
4.2,75.777,29.9275,27.913,17.9365,1.27374,-0.0363321,-0.534053
4.3,77.3851,30.592,28.5907,18.2023,1.3062,-0.0285212,-0.566795
4.4,78.9816,31.256,29.2656,18.46,1.33272,-0.0366735,-0.603467
4.5,80.5265,31.9024,29.9276,18.6965,1.36859,-0.0566518,-0.631177
4.6,82.0548,32.5396,30.6053,18.9099,1.38859,-0.0735601,-0.662478
4.7,83.5581,33.1574,31.3131,19.0876,1.40227,-0.101625,-0.700266
4.8,85.0512,33.7392,32.0378,19.2742,1.40953,-0.127191,-0.750371
4.9,86.5532,34.3439,32.7386,19.4707,1.42016,-0.157041,-0.789763
5.0,88.0432,34.9399,33.441,19.6623,1.43294,-0.196484,-0.829907
5.1,89.5303,35.5349,34.1644,19.831,1.44371,-0.24155,-0.83614
5.2,91.0084,36.1154,34.8798,20.0132,1.479,-0.277677,-0.841022
5.3,92.3983,36.6602,35.5661,20.172,1.51625,-0.334176,-0.832291
5.4,93.7929,37.2027,36.2503,20.3399,1.55381,-0.38581,-0.825996
5.5,95.1904,37.737,36.9416,20.5118,1.58236,-0.424992,-0.816754
5.6,96.5602,38.2953,37.5892,20.6757,1.62973,-0.456038,-0.798029
5.7,97.9502,38.8576,38.2499,20.8427,1.68336,-0.482326,-0.77224
5.8,99.3381,39.4462,38.8756,21.0163,1.74013,-0.518532,-0.751059
5.9,100.722,40.0714,39.4715,21.1795,1.79757,-0.540439,-0.735602
6.0,102.149,40.6993,40.1063,21.3431,1.82942,-0.544786,-0.706025
6.1,103.522,41.3427,40.6813,21.4978,1.87019,-0.525326,-0.682295
6.2,104.894,41.9748,41.2691,21.6497,1.92849,-0.502615,-0.659695
6.3,106.208,42.6009,41.8413,21.7663,1.98456,-0.500082,-0.625021
6.4,107.474,43.2148,42.3959,21.8637,2.02651,-0.504189,-0.601553
