Atom id,Diffusion Coefficient (cm²/s)
1,1.33263
2,5.99658
3,0.156033
4,5.33388
5,1.56398
6,3.62697
7,0.613195
8,1.55605
9,0.620677
10,8.65613
11,2.0456
12,4.48788
13,4.07191
14,0.703755
15,9.85127
16,1.14524
17,6.60832
18,0.758585
19,1.01092
20,2.29974
21,1.56355
22,0.480642
23,2.22484
24,3.76807
25,1.44065
26,3.46724
27,4.03713
28,8.53055
29,1.69839
30,2.74882
31,2.00621
32,1.31499
33,1.61504
34,1.16923
35,2.42419
36,1.45866
37,5.09607
38,6.16981
39,4.17423
40,1.11429
41,2.43492
42,5.10606
43,0.886692
44,1.24119
45,1.23433
46,0.000270227
47,0.457793
48,4.3631
49,2.66263
50,3.09
51,7.58805
52,3.16721
53,0.824568
54,1.31286
55,7.17066
56,1.33007
57,0.309483
58,4.14855
59,2.30707
60,1.19724
61,4.27817
62,3.2535
63,0.139114
64,0.534748
65,5.66933
66,3.61538
67,3.85901
68,1.82643
69,9.37432
70,0.561845
71,2.46539
72,2.96191
73,4.56645
74,1.18206
75,4.08097
76,0.912884
77,3.6394
78,3.15259
79,2.96409
80,1.50443
81,3.4558
82,1.50679
83,0.00654736
84,0.703246
85,3.19611
86,0.553311
87,2.29217
88,1.46565
89,5.67307
90,1.59382
91,2.04536
92,3.09605
93,1.07993
94,3.47696
95,3.50186
96,6.29025
97,0.000325481
98,2.6162
99,1.65
100,5.52269
101,2.40726
102,1.76444
103,0.650503
104,5.12641
105,1.9488
106,9.11434
107,1.27991
108,0.403337
109,2.13852
110,3.58615
111,7.05391
112,2.56543
113,1.64975
114,3.22335
115,2.89553
116,1.19496
117,1.57713
118,1.26891
119,3.3649
120,7.52288
121,3.88418
122,0.758134
123,1.18713
124,1.50296
125,1.23762
126,6.50379
127,2.11182
128,3.26968
129,0.346473
130,2.60329
131,3.35699
132,0.626354
133,2.99467
134,3.53407
135,0.808416
136,1.45048
137,3.73622
138,2.6343
139,2.26828
140,1.77977
141,2.38237
142,0.465066
143,0.866578
144,1.22121
145,3.02775
146,3.61955
147,1.00406
148,1.46191
149,5.0988
150,3.17139
151,1.25676
152,4.79791
153,2.41529
154,3.8754
155,0.86665
156,0.615002
157,2.34765
158,0.665529
159,7.67022
160,3.84897
161,1.65016
162,3.20921
163,4.44136
164,5.46748
165,2.80079
166,1.19236
167,5.48363
168,0.00337241
169,1.69365
170,0.691998
171,8.04684
172,2.01895
173,1.5355
174,5.27707
175,2.04215
176,4.20938
177,4.55133
178,1.97885
179,1.6943
180,1.35912
181,0.349384
182,0.365723
183,0.503015
184,1.25045
185,0.274215
186,2.46359
187,6.67037
188,1.93707
189,6.20134
190,1.7595
191,0.33123
192,2.16875
193,0.943326
194,1.31288
195,7.24846
196,4.22811
197,7.56114
198,5.13876
199,1.63016
200,3.79392
201,1.31242
202,0.734675
203,14.1207
204,4.11948
205,2.31151
206,2.16119
207,4.03675
208,2.77584
209,0.902307
210,3.05542
211,3.83133
212,4.23605
213,10.0288
214,1.34519
215,3.34448
216,2.27807
217,0.729579
218,8.26947
219,9.91955
220,2.19739
221,0.346464
222,5.14315
223,1.00566
224,4.17856
225,0.635638
226,3.55644
227,4.10979
228,0.146826
229,0.910186
230,1.38621
231,0.856608
232,4.0005
233,2.45203
234,1.28802
235,1.70064
236,0.760216
237,0.921313
238,0.425964
239,0.620883
240,3.09299
241,2.60681
242,1.79457
243,6.0388
244,1.82593
245,1.20817
246,1.09391
247,1.34293
248,3.28873
249,1.02238
250,4.17387
251,1.93386
252,0.958676
253,5.13317
254,3.44497
255,3.00747
256,2.85422
257,5.80056
258,1.16158
259,5.25439
260,3.25838
261,4.83542
262,2.46866
263,7.1586
264,4.3322
265,8.08945
266,2.02954
267,0.507665
268,3.53247
269,1.31323
270,3.11051
271,3.70423
272,1.67124
273,1.27656
274,5.05465
275,1.66422
276,1.50864
277,1.58447
278,2.26411
279,0.987675
280,3.56361
281,6.9127
282,2.51482
283,0.728443
284,5.3043
285,4.03539
286,5.40447
287,2.37184
288,0.576883
