Bins,Frequency,Density,Cumulative density
0.0,254,0.008819444444444444,0.008819444444444444
0.024087499999999998,34,0.0011805555555555556,0.01
0.048174999999999996,29,0.0010069444444444444,0.011006944444444444
0.0722625,49,0.0017013888888888888,0.012708333333333334
0.09634999999999999,43,0.0014930555555555556,0.014201388888888888
0.12043749999999999,65,0.0022569444444444442,0.016458333333333332
0.144525,60,0.0020833333333333333,0.018541666666666665
0.1686125,78,0.0027083333333333334,0.021249999999999998
0.19269999999999998,86,0.0029861111111111113,0.02423611111111111
0.21678749999999997,91,0.003159722222222222,0.027395833333333335
0.24087499999999998,103,0.003576388888888889,0.030972222222222224
0.2649625,103,0.003576388888888889,0.03454861111111111
0.28905,88,0.0030555555555555557,0.03760416666666667
0.31313749999999996,122,0.0042361111111111115,0.04184027777777778
0.337225,148,0.005138888888888889,0.04697916666666667
0.3613125,126,0.004375,0.05135416666666667
0.38539999999999996,120,0.004166666666666667,0.05552083333333334
0.40948749999999995,149,0.0051736111111111115,0.060694444444444454
0.43357499999999993,157,0.005451388888888889,0.06614583333333335
0.45766249999999997,159,0.005520833333333333,0.07166666666666668
0.48174999999999996,140,0.004861111111111111,0.07652777777777779
0.5058374999999999,160,0.005555555555555556,0.08208333333333334
0.529925,159,0.005520833333333333,0.08760416666666668
0.5540124999999999,185,0.006423611111111111,0.0940277777777778
0.5781,165,0.005729166666666666,0.09975694444444445
0.6021875,158,0.005486111111111111,0.10524305555555556
0.6262749999999999,143,0.004965277777777778,0.11020833333333334
0.6503625,159,0.005520833333333333,0.11572916666666667
0.67445,175,0.006076388888888889,0.12180555555555557
0.6985374999999999,158,0.005486111111111111,0.1272916666666667
0.722625,172,0.0059722222222222225,0.1332638888888889
0.7467124999999999,176,0.006111111111111111,0.13937500000000003
0.7707999999999999,185,0.006423611111111111,0.14579861111111114
0.7948875,162,0.005625,0.15142361111111113
0.8189749999999999,217,0.007534722222222222,0.15895833333333337
0.8430624999999999,176,0.006111111111111111,0.1650694444444445
0.8671499999999999,169,0.005868055555555555,0.17093750000000005
0.8912374999999999,175,0.006076388888888889,0.17701388888888894
0.9153249999999999,177,0.006145833333333333,0.18315972222222227
0.9394124999999999,204,0.007083333333333333,0.1902430555555556
0.9634999999999999,194,0.006736111111111111,0.1969791666666667
0.9875875,172,0.0059722222222222225,0.20295138888888892
1.0116749999999999,166,0.005763888888888889,0.20871527777777782
1.0357625,152,0.005277777777777778,0.2139930555555556
1.05985,184,0.006388888888888889,0.22038194444444448
1.0839375,200,0.006944444444444444,0.22732638888888893
1.1080249999999998,160,0.005555555555555556,0.2328819444444445
1.1321124999999999,189,0.0065625,0.2394444444444445
1.1562,191,0.006631944444444445,0.24607638888888894
1.1802875,172,0.0059722222222222225,0.25204861111111115
1.204375,204,0.007083333333333333,0.2591319444444445
1.2284624999999998,194,0.006736111111111111,0.2658680555555556
1.2525499999999998,189,0.0065625,0.2724305555555556
1.2766374999999999,181,0.006284722222222222,0.2787152777777778
1.300725,195,0.0067708333333333336,0.28548611111111116
1.3248125,138,0.004791666666666666,0.29027777777777786
1.3489,190,0.006597222222222222,0.29687500000000006
1.3729874999999998,184,0.006388888888888889,0.30326388888888894
1.3970749999999998,183,0.006354166666666667,0.3096180555555556
1.4211624999999999,174,0.0060416666666666665,0.31565972222222227
1.44525,197,0.006840277777777778,0.32250000000000006
1.4693375,169,0.005868055555555555,0.3283680555555556
1.4934249999999998,177,0.006145833333333333,0.33451388888888894
1.5175124999999998,185,0.006423611111111111,0.34093750000000006
1.5415999999999999,162,0.005625,0.34656250000000005
1.5656875,175,0.006076388888888889,0.35263888888888895
1.589775,159,0.005520833333333333,0.35815972222222225
1.6138624999999998,182,0.006319444444444444,0.3644791666666667
1.6379499999999998,176,0.006111111111111111,0.3705902777777778
1.6620374999999998,160,0.005555555555555556,0.37614583333333335
1.6861249999999999,164,0.005694444444444445,0.3818402777777778
1.7102125,163,0.005659722222222222,0.3875
1.7342999999999997,149,0.0051736111111111115,0.3926736111111111
1.7583874999999998,196,0.006805555555555555,0.39947916666666666
1.7824749999999998,163,0.005659722222222222,0.4051388888888889
1.8065624999999998,162,0.005625,0.4107638888888889
1.8306499999999999,175,0.006076388888888889,0.41684027777777777
1.8547375,163,0.005659722222222222,0.4225
1.8788249999999997,153,0.0053125,0.4278125
1.9029124999999998,143,0.004965277777777778,0.43277777777777776
1.9269999999999998,161,0.005590277777777777,0.4383680555555555
1.9510874999999999,142,0.004930555555555555,0.4432986111111111
1.975175,162,0.005625,0.44892361111111106
1.9992624999999997,149,0.0051736111111111115,0.45409722222222215
2.0233499999999998,146,0.005069444444444444,0.4591666666666666
2.0474375,130,0.0045138888888888885,0.4636805555555555
2.071525,157,0.005451388888888889,0.4691319444444444
2.0956124999999997,150,0.005208333333333333,0.4743402777777777
2.1197,160,0.005555555555555556,0.47989583333333324
2.1437874999999997,149,0.0051736111111111115,0.48506944444444433
2.167875,132,0.004583333333333333,0.48965277777777766
2.1919625,148,0.005138888888888889,0.4947916666666666
2.2160499999999996,154,0.005347222222222222,0.5001388888888888
2.2401375,136,0.004722222222222222,0.504861111111111
2.2642249999999997,151,0.0052430555555555555,0.5101041666666666
2.2883125,139,0.004826388888888889,0.5149305555555554
2.3124,143,0.004965277777777778,0.5198958333333332
2.3364874999999996,138,0.004791666666666666,0.5246874999999999
2.360575,136,0.004722222222222222,0.529409722222222
2.3846624999999997,120,0.004166666666666667,0.5335763888888887
2.40875,123,0.004270833333333333,0.537847222222222
