Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.14223,0.718899,0.737633,0.685701,-0.00408955,-0.000101683,0.00879165
0.2,4.21215,1.41088,1.45661,1.34465,-0.00423079,0.00444861,0.0132459
0.3,6.25761,2.11706,2.15458,1.98597,0.000730107,0.0014703,0.0149297
0.4,8.27987,2.82106,2.84551,2.6133,0.00359462,0.00809603,0.0190722
0.5,10.2715,3.51445,3.53056,3.22645,0.00706979,0.0244264,0.0175964
0.6,12.2278,4.19726,4.20558,3.82498,0.00442028,0.0412933,0.0178642
0.7,14.1632,4.87396,4.88005,4.40919,0.00693048,0.0510309,0.02182
0.8,16.0623,5.53902,5.55652,4.96672,0.0143347,0.0737403,0.0098233
0.9,17.9638,6.20307,6.23789,5.52285,0.0161409,0.0970252,-0.00564363
1.0,19.8611,6.87961,6.90557,6.07594,0.0162741,0.117737,-0.0155386
1.1,21.7555,7.5727,7.56566,6.61718,0.0283852,0.142511,-0.0380542
1.2,23.6311,8.26069,8.22354,7.14692,0.0381978,0.152937,-0.0571642
1.3,25.5006,8.96821,8.86661,7.66579,0.0498133,0.171372,-0.0705612
1.4,27.3442,9.67437,9.49878,8.17106,0.0592851,0.192275,-0.0916581
1.5,29.1451,10.364,10.1292,8.65189,0.0700611,0.221985,-0.102526
1.6,30.9302,11.0411,10.7639,9.1252,0.0888368,0.24862,-0.117055
1.7,32.7073,11.7217,11.4067,9.57899,0.109468,0.270827,-0.122408
1.8,34.4836,12.4108,12.0473,10.0254,0.129275,0.282652,-0.11575
1.9,36.2276,13.113,12.6764,10.4383,0.15655,0.293839,-0.111687
2.0,37.9579,13.8161,13.2875,10.8543,0.193616,0.303629,-0.113598
2.1,39.6629,14.5146,13.8806,11.2677,0.224148,0.309013,-0.110844
2.2,41.3255,15.2055,14.4571,11.663,0.250671,0.308707,-0.0999193
2.3,43.0335,15.9339,15.0418,12.0578,0.275639,0.312538,-0.099664
2.4,44.7665,16.6597,15.6441,12.4627,0.313469,0.315192,-0.0929854
2.5,46.4821,17.3724,16.2628,12.8469,0.352075,0.310923,-0.0681559
2.6,48.2271,18.1005,16.885,13.2416,0.39425,0.29989,-0.0614969
2.7,49.9223,18.8386,17.4656,13.6182,0.442995,0.282202,-0.0549374
2.8,51.6095,19.5666,18.0397,14.0031,0.486747,0.267899,-0.0483384
2.9,53.2994,20.3007,18.6099,14.3889,0.539801,0.255425,-0.0506472
3.0,54.9877,21.0368,19.1799,14.771,0.595021,0.256433,-0.0587668
3.1,56.6256,21.7636,19.7157,15.1463,0.653522,0.256655,-0.0708596
3.2,58.2662,22.5046,20.2514,15.5102,0.737942,0.255885,-0.0854415
3.3,59.8943,23.2457,20.7753,15.8732,0.829242,0.24939,-0.0959193
3.4,61.5197,23.9922,21.2998,16.2276,0.924214,0.237548,-0.0905615
3.5,63.1063,24.7319,21.8085,16.566,1.02538,0.229718,-0.0626435
3.6,64.6527,25.4656,22.3093,16.8778,1.12246,0.227999,-0.0409615
3.7,66.1671,26.1786,22.8105,17.178,1.21845,0.238796,-0.0280291
3.8,67.6728,26.8924,23.3032,17.4771,1.32591,0.254694,-0.00373448
3.9,69.1411,27.6021,23.7845,17.7545,1.44619,0.275216,0.023167
4.0,70.6291,28.3147,24.2601,18.0543,1.56928,0.301576,0.0517251
4.1,72.1393,29.042,24.7439,18.3535,1.69417,0.335578,0.0851871
4.2,73.6566,29.8055,25.2028,18.6483,1.82406,0.370578,0.115287
4.3,75.1717,30.5714,25.6594,18.9409,1.95622,0.41881,0.144409
4.4,76.7193,31.3299,26.1501,19.2394,2.09609,0.465231,0.149786
4.5,78.2786,32.1003,26.6531,19.5252,2.24773,0.540086,0.148305
4.6,79.9175,32.9123,27.1606,19.8446,2.38481,0.613378,0.166144
4.7,81.5646,33.7285,27.6636,20.1726,2.53245,0.668979,0.186681
4.8,83.1829,34.5338,28.1583,20.4908,2.67096,0.722737,0.213612
4.9,84.7889,35.3277,28.6494,20.8118,2.80676,0.771495,0.237809
