Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.11858,0.716404,0.719209,0.682964,0.00725499,-0.00778695,-0.00286566
0.2,4.16701,1.4177,1.42584,1.32347,0.0185181,-0.0141738,-0.00887174
0.3,6.17176,2.11358,2.12256,1.93562,0.0356316,-0.0160696,-0.0225457
0.4,8.15627,2.8079,2.82579,2.52257,0.0361427,-0.0194891,-0.0428811
0.5,10.1597,3.51511,3.54324,3.10135,0.0265091,-0.0192062,-0.0627151
0.6,12.1449,4.22157,4.25294,3.67042,0.01516,-0.0119429,-0.0807207
0.7,14.1473,4.92904,4.97644,4.24177,0.0043458,-0.00890717,-0.101191
0.8,16.1156,5.62938,5.69532,4.79086,0.00100337,-0.0103322,-0.122943
0.9,18.0789,6.33603,6.40108,5.34183,-0.00924253,-0.0183903,-0.140685
1.0,20.0495,7.06027,7.10646,5.8828,-0.0231886,-0.0405454,-0.16077
1.1,21.9917,7.78978,7.7956,6.40631,-0.0396527,-0.0597357,-0.179966
1.2,23.9287,8.51995,8.49561,6.91312,-0.0541208,-0.0859024,-0.191158
1.3,25.8781,9.2565,9.20198,7.4196,-0.074136,-0.115468,-0.20252
1.4,27.7937,9.98588,9.90114,7.90663,-0.0863169,-0.144893,-0.237133
1.5,29.717,10.7095,10.6105,8.39701,-0.0921363,-0.191693,-0.263231
1.6,31.6464,11.4377,11.3177,8.89104,-0.0995172,-0.234788,-0.293136
1.7,33.5475,12.1565,12.0181,9.37292,-0.106532,-0.284431,-0.334548
1.8,35.4299,12.8555,12.7251,9.84929,-0.109688,-0.348906,-0.375254
1.9,37.2701,13.5512,13.4077,10.3111,-0.116216,-0.406221,-0.41375
2.0,39.0958,14.242,14.0876,10.7662,-0.12518,-0.459282,-0.45329
2.1,40.9031,14.9363,14.7618,11.2049,-0.133429,-0.5175,-0.483072
2.2,42.7013,15.6296,15.4349,11.6368,-0.140574,-0.575833,-0.5075
2.3,44.4922,16.309,16.1119,12.0713,-0.145944,-0.645576,-0.547944
2.4,46.3093,17.0106,16.8011,12.4975,-0.140229,-0.727526,-0.580665
2.5,48.1171,17.7264,17.4826,12.9081,-0.125541,-0.798407,-0.608533
2.6,49.9159,18.4421,18.1558,13.3179,-0.114584,-0.875343,-0.630824
2.7,51.7059,19.174,18.813,13.719,-0.105511,-0.956648,-0.647918
2.8,53.4753,19.8892,19.4638,14.1223,-0.0914983,-1.03379,-0.665754
2.9,55.2221,20.6172,20.0926,14.5123,-0.0758474,-1.1145,-0.681437
3.0,56.9594,21.3566,20.7154,14.8875,-0.0502029,-1.18756,-0.700744
3.1,58.6799,22.0877,21.3449,15.2474,-0.0135447,-1.25077,-0.729827
3.2,60.3675,22.7885,21.9844,15.5946,0.0251622,-1.30615,-0.752459
3.3,62.0394,23.48,22.6094,15.95,0.0761307,-1.37094,-0.784626
3.4,63.7417,24.1488,23.2546,16.3382,0.130577,-1.44046,-0.822164
3.5,65.3983,24.8248,23.8887,16.6849,0.19057,-1.5052,-0.849073
3.6,67.0229,25.4844,24.5181,17.0204,0.239707,-1.55224,-0.876418
3.7,68.6604,26.1167,25.1784,17.3654,0.287989,-1.5991,-0.913029
3.8,70.2547,26.7213,25.8369,17.6965,0.344693,-1.65035,-0.960203
3.9,71.9094,27.3356,26.5278,18.046,0.41671,-1.71705,-1.02192
4.0,73.5514,27.9638,27.2171,18.3706,0.479083,-1.77306,-1.07873
4.1,75.1828,28.5785,27.9099,18.6944,0.541722,-1.82067,-1.14792
4.2,76.7676,29.1794,28.5815,19.0066,0.601226,-1.87143,-1.20504
4.3,78.3462,29.7726,29.2637,19.3098,0.649785,-1.92502,-1.25176
4.4,79.9758,30.3975,29.9302,19.6481,0.715447,-1.97568,-1.29962
4.5,81.6258,31.006,30.64,19.9799,0.802669,-2.03885,-1.34958
4.6,83.2729,31.642,31.3283,20.3025,0.875527,-2.09531,-1.39359
4.7,84.9455,32.2923,32.0133,20.6399,0.93663,-2.16531,-1.41195
4.8,86.6567,32.9578,32.7032,20.9956,0.969734,-2.2134,-1.43898
4.9,88.3462,33.6284,33.3621,21.3557,0.990347,-2.2414,-1.45759
5.0,90.017,34.27,34.0199,21.7272,1.00837,-2.27666,-1.45988
5.1,91.7392,34.9469,34.6948,22.0975,1.0171,-2.30967,-1.46029
5.2,93.4555,35.6144,35.3921,22.449,1.02292,-2.36031,-1.45845
5.3,95.1858,36.2667,36.0938,22.8253,1.01041,-2.38464,-1.48158
5.4,96.8874,36.9142,36.7936,23.1796,0.996673,-2.41446,-1.50895
5.5,98.5698,37.576,37.4791,23.5147,0.998457,-2.45205,-1.55698
5.6,100.219,38.2741,38.1074,23.8372,0.982012,-2.49471,-1.61974
5.7,101.821,38.9142,38.7414,24.1656,0.966613,-2.53669,-1.69566
5.8,103.458,39.5918,39.3705,24.4959,0.937659,-2.60535,-1.77799
5.9,105.057,40.2814,39.9916,24.7845,0.905086,-2.70069,-1.85251
6.0,106.668,40.9645,40.6345,25.0692,0.881576,-2.78315,-1.92384
6.1,108.288,41.656,41.2887,25.3437,0.845686,-2.85266,-2.0085
6.2,109.921,42.4042,41.9201,25.5969,0.83446,-2.9023,-2.06644
6.3,111.493,43.1534,42.5227,25.8169,0.816367,-2.94943,-2.12214
6.4,113.059,43.9016,43.1234,26.0343,0.77955,-2.99654,-2.18548
6.5,114.616,44.6521,43.6933,26.2709,0.727665,-3.04991,-2.22832
6.6,116.184,45.4183,44.2946,26.4716,0.68989,-3.11148,-2.30629
6.7,117.751,46.2197,44.8604,26.6707,0.681265,-3.1629,-2.376
6.8,119.393,47.0757,45.4451,26.872,0.672046,-3.20744,-2.45602
6.9,121.073,47.9415,46.0297,27.1012,0.644513,-3.24925,-2.56253
7.0,122.747,48.7886,46.6275,27.3305,0.6174,-3.2613,-2.62719
7.1,124.303,49.5979,47.199,27.5063,0.56019,-3.26107,-2.72632
7.2,125.922,50.3916,47.8142,27.7161,0.527158,-3.23512,-2.84097
7.3,127.611,51.2083,48.4331,27.9701,0.53206,-3.22217,-2.96778
7.4,129.235,52.0091,49.0251,28.2013,0.56756,-3.18202,-3.09261
7.5,130.881,52.818,49.6139,28.4496,0.590754,-3.17312,-3.20311
7.6,132.73,53.7391,50.2897,28.7008,0.665623,-3.16998,-3.2354
7.7,134.616,54.6306,51.0419,28.9432,0.708958,-3.16733,-3.24899
7.8,136.439,55.5178,51.739,29.1824,0.713136,-3.16026,-3.22324
7.9,138.258,56.387,52.4075,29.463,0.744506,-3.14427,-3.22017
8.0,139.931,57.243,53.0084,29.6791,0.76433,-3.17797,-3.23252
8.1,141.549,58.1443,53.5491,29.8557,0.84243,-3.23816,-3.3101
8.2,143.229,59.0512,54.1342,30.0432,0.97086,-3.27751,-3.38153
8.3,144.938,60.0255,54.656,30.2569,1.12474,-3.35475,-3.46844
8.4,146.742,61.0137,55.2032,30.5251,1.3187,-3.41833,-3.58624
8.5,148.415,61.853,55.7527,30.8097,1.53843,-3.48658,-3.74459
8.6,150.084,62.6448,56.372,31.0669,1.69413,-3.61279,-3.99528
8.7,151.914,63.4143,57.1515,31.3486,1.7964,-3.72456,-4.25058
