Time (ns),Atom id,Diffusion Coefficient (cm²/s)
240.0,64,0.19457
240.0,76,0.0840489
240.0,80,0.0965187
240.0,83,0.260259
240.0,97,0.00146455
240.0,103,0.32438
240.0,131,0.312556
240.0,155,0.000135829
240.0,156,0.296227
240.0,168,0.00087112
240.0,177,0.202095
240.0,213,0.334758
240.0,235,0.220606
240.0,282,0.331449
250.0,22,0.317484
250.0,46,0.017247
250.0,95,0.177417
250.0,97,0.000981055
250.0,111,0.045087
250.0,124,0.248931
250.0,141,0.0564795
250.0,145,0.171481
250.0,168,0.00673052
250.0,198,0.039155
250.0,200,0.234797
250.0,215,0.287359
250.0,236,0.302233
250.0,250,0.335621
250.0,254,0.335192
250.0,268,0.313451
250.0,286,0.29616
250.0,288,0.331402
260.0,10,0.249081
260.0,15,0.213418
260.0,26,0.260585
260.0,42,0.15424
260.0,176,0.0957297
260.0,186,0.145873
260.0,196,0.202123
260.0,216,0.240134
260.0,223,0.00124852
260.0,240,0.235165
260.0,272,0.0935715
260.0,276,0.131492
270.0,11,0.219951
270.0,43,0.226904
270.0,77,0.265436
270.0,97,0.00179483
270.0,138,0.307607
270.0,190,0.258826
270.0,213,0.298691
270.0,220,0.103964
270.0,228,0.325124
270.0,240,0.304949
270.0,253,0.0104406
270.0,260,0.190587
270.0,285,0.000328758
270.0,286,0.122007
280.0,97,0.000782132
280.0,101,0.16915
280.0,163,0.171851
280.0,211,0.283893
280.0,216,0.276462
280.0,222,0.20893
280.0,255,0.332042
290.0,103,0.303369
290.0,157,0.236707
290.0,168,0.222247
290.0,182,0.178916
290.0,219,0.337002
290.0,271,0.00136545
290.0,277,0.124043
300.0,6,0.228147
300.0,61,0.301298
300.0,62,0.266259
300.0,97,0.000385408
300.0,104,0.104971
300.0,120,0.28645
300.0,204,0.109343
300.0,206,0.17186
300.0,212,0.130642
300.0,245,0.232399
300.0,260,0.200241
300.0,274,0.316617
310.0,31,0.0536733
310.0,46,0.0
310.0,97,0.000151215
