id,Diffusion Coefficient (cm²/s),std
1,2.6602907805999996,2.1874855078540785
2,2.99643636,2.488439816640488
3,2.60573543,2.4073544983468795
4,3.17618606,2.9536812247398707
5,2.6456008659999997,2.511791439801671
6,2.974612901,2.855533148419523
7,2.5451762223200003,2.2361762325200965
8,3.0237352399999997,2.382799928533293
9,2.860056152,2.5287028706818866
10,2.58448674,2.020748757431523
11,2.6772828551380004,2.136761356237745
12,2.74090002,2.073307510684848
13,2.63849228,2.1251050958857487
14,2.451411,1.806920088768407
15,2.9050594699999994,2.7229972932909736
16,2.7791525179999996,2.3839090136048418
17,2.811438696,2.4655309710259523
18,2.6726802399999996,2.1341117452525893
19,2.76533437403,2.355025416485042
20,2.8288999100000014,2.1462716976606417
21,2.6903349262000007,2.351558526768162
22,2.858399852,2.2322312071624397
23,3.38814568,2.5760663897375418
24,3.2571707300000003,2.570888568206059
25,2.63278798,1.9988116868466592
26,2.93628481,2.5447462212936993
27,3.23648626,2.5837403141736854
28,2.65313595,1.8492998170760913
29,2.94089776,2.4065948684254184
30,2.61946831,1.7742827301374189
31,3.01583606,2.52016337871758
32,2.74194539,2.492291144643272
33,2.9830320459999995,2.1592925317588034
34,2.986900929999999,2.5649619900034053
35,3.4394365579999993,3.301746188192367
36,2.49387508,2.0369282287249937
37,2.5325676169999998,2.335960050661431
38,2.6118693855,1.99302581576267
39,3.0494108609999997,2.6995116362585865
40,2.42935165,2.039969190235071
41,2.5086128230000004,1.9865480725625781
42,3.0224024,2.319182852263214
43,2.3507954900000003,1.7119238654181768
44,2.585997821,2.2085662431801585
45,2.9273455999999998,2.365580696078682
46,2.3612988342,1.8638389123518517
47,2.854057347,2.4736053351527265
48,2.80243578,2.005112030554698
49,2.89427354,2.5814786157939644
50,2.7349869200000008,2.0599630499812154
51,2.7441955500000006,2.1881461800380797
52,2.14760956,1.9539743046295908
53,2.86214934,2.469235047653047
54,3.3445632310999995,2.7959363910161676
55,2.9853418,2.242491911990518
56,2.772381461,2.506492528850173
57,3.02996666,2.312998464019479
58,2.66364754,2.586050582711575
59,2.5810869402999996,2.063795209169446
60,2.7918041400000004,2.3268501461826463
61,2.751273397,2.4492931915569844
62,2.73170427,2.2010963744124914
63,2.7927882303850002,1.9770906024653239
64,2.7817517799999996,1.9626534324356932
65,2.681124259999999,2.2781466224364175
66,2.7201755050000007,2.233271537949847
67,3.00604685,2.554141944918213
68,2.5341491047430003,2.40857367023203
69,3.082198811100001,2.652972154474234
70,3.04205756,2.6776775233141623
71,2.6427020599999995,2.525963347402996
72,2.51437248,1.9373854427726256
73,2.8739236999999997,2.392725762434751
74,2.934703809,2.242184524098036
75,3.002158425,2.751408391983435
76,2.470369253,2.2644563091189545
77,2.936657465,2.356102390735033
78,2.8066123729999997,2.2437644308709563
79,3.0133727089999995,2.3443097800835813
80,2.9304267499999996,2.637125390855014
81,2.9535112399999996,2.325096767381279
82,2.8209468200000005,2.263371254670005
83,2.6460742829,2.2539510300615326
84,2.6771495799999996,2.521222751487505
85,2.70671016,2.12178178152622
86,2.339926683,1.7062338246483
87,2.6298968826999998,1.9770611915949439
88,2.6200796927049996,2.0229099722036183
89,2.743522351,2.3180441278984105
90,2.6165694939999997,2.283952060773906
91,2.6753351800000003,1.9629984406337344
92,2.3493179167,1.7516929543439537
93,2.9302151299999997,2.1609816687568233
94,3.025574641999999,2.651250218283517
95,2.5989797260000005,1.822496147198176
96,2.89523617,2.4060914303902363
97,2.528535477,1.7704687898586642
98,3.2195765400000003,2.4576326860756597
99,2.8689529599999997,2.6516599682287443
100,2.90788279,2.401377434016313
101,2.6067415,1.7490992480993255
102,3.17234032,2.3157706127833624
103,2.779013525,2.152937302796487
104,2.6668080480000005,2.002509450578946
105,2.6294309000000005,2.186185726835652
106,2.7287773049999995,2.1551171284078388
107,2.5482163700000005,2.1684919101976425
108,2.8704056430000002,2.0128208942540446
109,2.80381739,2.1099070930121036
110,2.6529487309999995,2.0213522916682503
111,2.760569323,2.2087021876984947
112,2.7434861800000006,2.088640226554904
113,2.925920104,2.5292063272146623
114,2.65286561,2.1694462211235543
115,2.931310039999999,2.657029742775343
116,3.20722477,2.89568845398831
117,2.5092017302,2.018802598022993
118,2.3718327,1.9386094995064156
119,2.8086004437,2.32506898836492
120,2.4690202549839997,2.447054394597358
121,2.55774453,1.8849768839003667
122,2.43730586,2.07644275538102
123,3.0558031,2.316770932157696
124,2.82211147,2.2775605949410416
125,2.9804430399999995,2.046675488135835
126,2.4444447948000003,2.2991142471987946
127,2.987211420000001,2.5507030185910904
128,2.84570577472,2.6909314893549845
129,2.440260438,1.8391933621784806
130,2.732863700000001,2.095054927225959
131,2.9126996199999997,2.2035922056034503
132,2.6589076227999997,2.17967759571408
133,3.216077,2.368481979919427
134,2.8404822399999996,2.297712377321154
135,2.687018976,2.1631463168807543
136,2.6332048759999998,2.4223585926572153
137,3.0220012389999997,2.262224639906795
138,3.0367971,2.4483074387699495
139,2.701300865,2.448945006160386
140,2.3574266230000003,1.734966297884062
141,2.8356392417,2.5488688480225314
142,2.8891180699999994,2.3941532482554253
143,2.43929049,2.152412690432478
144,2.924638656000001,2.3419039076956922
145,2.8987749800000002,2.3730161167740205
146,2.7381718,2.2440454919388175
147,3.1786550600000005,2.5762844904410866
148,2.5994019539999997,2.1523429665616467
149,2.531316011,1.905824495709118
150,2.8329781798,2.247221520160148
151,2.639724805,2.183898084787893
