Atom id,Diffusion Coefficient (cm²/s)
1,5.02796
2,4.76579
3,1.80583
4,3.74416
5,1.46278
6,6.53409
7,0.64454
8,1.5812
9,5.75652
10,2.39508
11,3.85853
12,0.55579
13,4.17041
14,2.78834
15,3.12348
16,3.79908
17,5.33917
18,1.52458
19,0.0891994
20,0.588225
21,2.67979
22,2.57637
23,0.758975
24,2.29513
25,2.8436
26,1.0252
27,3.99979
28,1.74618
29,2.49293
30,1.71545
31,2.60525
32,2.33447
33,1.13297
34,2.71894
35,0.358781
36,1.41692
37,0.81308
38,0.405852
39,5.6653
40,3.56512
41,0.799514
42,4.33056
43,0.706903
44,0.243445
45,0.569582
46,2.95761
47,3.42685
48,3.36963
49,3.7985
50,0.393933
51,3.02138
52,1.21504
53,9.32715
54,1.53839
55,3.63914
56,2.20357
57,2.8077
58,0.608989
59,0.845183
60,1.97966
61,1.48392
62,0.332798
63,0.863935
64,1.10935
65,5.49232
66,2.93303
67,1.45713
68,4.35953e-05
69,0.865538
70,3.47796
71,5.25623
72,2.13428
73,6.39838
74,3.61932
75,2.46329
76,6.44543
77,2.00942
78,2.55815
79,4.66941
80,5.5814
81,3.51276
82,1.56631
83,0.797368
84,1.76296
85,0.725381
86,3.92241
87,0.560362
88,2.99801
89,2.31528
90,4.06812
91,0.897992
92,1.87075
93,2.72137
94,1.27647
95,6.41158
96,3.65442
97,1.77707
98,2.18443
99,1.04132
100,0.26166
101,1.94691
102,2.21971
103,5.81462
104,0.468556
105,2.35223
106,7.40514
107,2.22766
108,5.04757
109,1.57038
110,0.0286911
111,1.73541
112,3.68592
113,1.05246
114,0.229001
115,3.44028
116,1.62667
117,2.24051
118,1.41046
119,3.6313
120,3.02733
121,4.00043
122,0.48913
123,5.30726
124,0.399623
125,3.02939
126,0.324112
127,1.36615
128,2.20529
129,5.56739
130,1.35961
131,1.59568
132,0.785117
133,2.32718
134,0.677369
135,4.04712
136,2.82462
137,1.82213
138,0.739831
139,7.33717
140,0.823154
141,3.71731
142,1.10396
143,2.67687
144,2.74968
145,2.11791
146,0.18565
147,1.60181
148,6.82345
149,4.45332
150,3.6928
151,3.49111
152,0.549973
153,2.9709
154,0.986145
155,1.80276
156,0.443721
157,1.83719
158,1.09957
159,2.74209
160,1.52146
161,1.80687
162,1.84433
163,3.25754
164,9.79091
165,1.56821
166,1.60331
167,1.71241
168,4.77563
169,1.53992
170,0.976859
171,3.56862
172,0.834968
173,2.53276
174,4.33601
175,1.62112
176,3.89559
177,6.22318
178,3.02654
179,2.49523
180,2.58308
181,0.939877
182,1.08915
183,2.57069
184,2.87273
185,5.29305
186,0.888534
187,0.898238
188,0.605894
189,2.70995
190,3.17476
191,3.00193
192,3.00662
193,5.60777
194,5.84305
195,3.05846
196,3.60543
197,0.0661951
198,2.75441
199,4.21349
200,2.45472
201,1.64266
202,1.13718
203,5.63492
204,0.889308
205,1.57584
206,3.99277
207,0.565901
208,1.40076
209,1.69378
210,2.60009
211,0.100795
212,2.05776
213,3.08926
214,2.1725
215,3.46283
216,1.44777
217,3.18944
218,1.62929
219,0.740504
220,1.05933
221,2.4736
222,1.1813
223,0.547726
224,1.09054
225,0.145766
226,1.15784
227,2.6318
228,0.956756
229,4.54555
230,1.82865
231,0.596094
232,2.8608
233,1.84047
234,8.39597
235,4.89546
236,9.40761
237,2.91271
238,5.49472
239,6.41262
240,4.16102
241,4.35815
242,1.27209
243,2.42893
244,8.58714
245,4.92351
246,1.69223
247,1.33464
248,1.64581
249,1.75844
250,0.930077
251,1.66963
252,1.21673
253,4.85203
254,3.41935
255,2.42263
256,9.15272
257,1.01555
258,0.932722
259,2.029
260,2.74579
261,5.34509
262,2.42436
263,7.22871
264,3.45948
265,3.17186
266,0.201479
267,0.754982
268,0.669665
269,0.961311
270,3.36414
271,4.22496
272,0.846818
273,0.430529
274,5.92944
275,2.72363
276,2.48124
277,3.119
278,2.20642
279,3.39031
280,3.4389
281,5.41534
282,0.462875
283,2.33064
284,1.94443
285,4.01336
286,3.95283
287,1.4035
288,2.59814
289,2.58903
290,0.0681642
291,1.13537
