Atom id,Diffusion Coefficient (cm²/s)
1,2.85864
2,1.07412
3,5.43306
4,1.37649
5,6.90773
6,1.08444
7,3.78085
8,3.66432
9,4.18743
10,1.34358
11,0.000105367
12,3.92792
13,1.54118
14,0.235136
15,6.7997
16,0.761812
17,2.79209
18,1.16096
19,1.29908
20,4.34266
21,4.52803
22,2.63632
23,6.57892
24,2.02602
25,5.584
26,0.985519
27,2.04543
28,8.30425
29,1.1457
30,0.854799
31,1.54914
32,7.05637
33,0.368551
34,4.29557
35,0.2206
36,1.86903
37,3.22526
38,1.85354
39,0.810673
40,4.10407
41,2.7573
42,1.56568
43,5.74736
44,0.958481
45,0.574656
46,0.957567
47,5.29431
48,1.33789
49,1.57971
50,3.40956
51,1.29553
52,1.02159
53,0.63268
54,2.60814
55,0.408002
56,4.72458
57,1.04966
58,1.70673
59,5.79928
60,2.38206
61,2.57717
62,1.26063
63,1.91506
64,1.19281
65,2.4649
66,1.28363
67,2.99473
68,2.95613
69,6.38747
70,2.37238
71,0.682256
72,4.16458
73,2.3845
74,2.61367
75,1.88727
76,0.695222
77,1.674
78,1.60524
79,4.70025
80,0.742501
81,1.06476
82,4.65495
83,0.30705
84,1.73832
85,7.77992
86,3.93454
87,6.26841
88,1.39161
89,2.31503
90,2.00455
91,4.08703
92,0.962137
93,7.55682
94,0.962087
95,6.13994
96,2.52177
97,2.58243
98,5.09396
99,2.05666
100,1.32666
101,3.69649
102,1.16148
103,1.65865
104,1.51899
105,2.9818
106,7.77989
107,3.28702
108,2.68679
109,5.73153
110,6.74043
111,0.387348
112,9.27799
113,1.89507
114,0.628042
115,9.14462
116,5.94324
117,0.464858
118,1.0023
119,6.57295
120,1.47539
121,0.439978
122,5.57915
123,7.5694
124,1.92601
125,1.71945
126,0.00621515
127,2.00066
128,3.24435
129,0.470103
130,1.68591
131,7.2694
132,0.762238
133,2.21649
134,1.73816
135,1.10911
136,2.65091
137,7.32913
138,0.314927
139,2.36436
140,3.93724
141,2.38853
142,5.19287
143,0.444837
144,4.51544
145,1.56836
146,5.46126
147,1.58717
148,0.946356
149,1.46636
150,2.87565
151,1.40912
152,6.68514
153,3.57205
154,1.29987
155,1.43484
156,1.25667
157,8.42451
158,2.34671
159,4.39149
160,4.7885
161,3.0342
162,0.182313
163,0.280706
164,2.70338
165,2.08488
166,4.10386
167,1.4586
168,17.1404
169,6.8614
170,3.74482
171,3.97903
172,4.50069
173,0.84379
174,3.86579
175,1.91425
176,2.76279
177,0.300069
178,4.86375
179,0.968821
180,7.81911
181,2.10336
182,5.2457
183,1.24111
184,0.844653
185,0.861252
186,1.33138
187,3.57954
188,2.8265
189,1.57583
190,2.6329
191,0.979754
192,2.52792
193,2.17521
194,2.2447
195,0.722421
196,0.902537
197,0.550757
198,1.68458
199,3.50448
200,1.17856
201,2.6123
202,0.729871
203,6.90489
204,1.68254
205,1.06967
206,5.07623
207,3.21284
208,0.78992
209,0.655295
210,0.593421
211,2.40891
212,0.937346
213,3.99712
214,0.0
215,2.06854
216,3.54925
217,10.2981
218,3.8713
219,2.55299
220,2.38218
221,6.38473
222,3.10466
223,0.409025
224,4.49454
225,4.2037
226,1.28815
227,1.63975
228,4.83676
229,0.902922
230,2.0799
231,1.81303
232,6.25644
233,2.37763
234,0.488112
235,3.18585
236,3.32596
237,3.39059
238,0.820406
239,2.42205
240,1.59396
241,3.49601
242,3.46054
243,1.48985
244,0.511289
245,3.25133
246,1.35204
247,5.87912
248,1.54786
249,0.748259
250,1.69183
251,1.58416
252,4.59377
253,4.58102
254,2.67642
255,1.88068
256,2.3162
257,3.16501
258,3.18803
259,2.67898
260,2.13678
261,7.27281
262,2.86917
263,0.824011
264,0.289855
265,1.55151
266,2.80442
267,3.58914
268,4.9188
269,4.20048
270,0.563031
271,3.69198
272,3.21027
273,2.45217
274,6.09404
275,1.77178
276,1.64343
277,2.22445
278,1.42772
279,0.214732
280,0.795569
281,0.416332
282,1.31417
283,8.81386
284,7.62212
285,2.20656
286,4.3541
287,1.44932
288,1.08312
289,2.96884
290,3.86079
291,1.07495
