Bins,Frequency,Density,Cumulative density
0.0,148,0.005085910652920962,0.005085910652920962
0.0205988,44,0.0015120274914089348,0.006597938144329896
0.0411976,30,0.0010309278350515464,0.0076288659793814426
0.0617964,37,0.0012714776632302405,0.008900343642611682
0.0823952,38,0.0013058419243986254,0.010206185567010308
0.102994,46,0.0015807560137457044,0.011786941580756013
0.1235928,51,0.0017525773195876289,0.013539518900343642
0.1441916,60,0.002061855670103093,0.015601374570446734
0.1647904,73,0.002508591065292096,0.018109965635738832
0.1853892,75,0.002577319587628866,0.0206872852233677
0.205988,74,0.002542955326460481,0.02323024054982818
0.2265868,69,0.0023711340206185568,0.025601374570446735
0.2471856,77,0.002646048109965636,0.02824742268041237
0.26778440000000003,92,0.003161512027491409,0.03140893470790378
0.2883832,111,0.0038144329896907217,0.0352233676975945
0.308982,94,0.0032302405498281788,0.03845360824742268
0.3295808,133,0.004570446735395189,0.04302405498281787
0.35017960000000004,112,0.0038487972508591066,0.04687285223367697
0.3707784,106,0.003642611683848797,0.05051546391752577
0.3913772,128,0.004398625429553264,0.05491408934707903
0.411976,136,0.004673539518900344,0.059587628865979375
0.43257480000000004,134,0.004604810996563574,0.06419243986254294
0.4531736,147,0.005051546391752577,0.06924398625429552
0.4737724,134,0.004604810996563574,0.07384879725085909
0.4943712,133,0.004570446735395189,0.07841924398625429
0.51497,143,0.004914089347079038,0.08333333333333333
0.5355688000000001,147,0.005051546391752577,0.08838487972508591
0.5561676,152,0.005223367697594502,0.09360824742268041
0.5767664,161,0.005532646048109965,0.09914089347079037
0.5973652,141,0.004845360824742268,0.10398625429553264
0.617964,150,0.005154639175257732,0.10914089347079037
0.6385628,151,0.005189003436426117,0.11432989690721648
0.6591616,162,0.00556701030927835,0.11989690721649483
0.6797604,155,0.0053264604810996565,0.12522336769759448
0.7003592000000001,138,0.0047422680412371136,0.1299656357388316
0.720958,165,0.005670103092783505,0.13563573883161512
0.7415568,152,0.005223367697594502,0.1408591065292096
0.7621556,151,0.005189003436426117,0.14604810996563572
0.7827544,156,0.0053608247422680414,0.15140893470790376
0.8033532,148,0.005085910652920962,0.15649484536082472
0.823952,145,0.004982817869415807,0.16147766323024054
0.8445508,157,0.005395189003436426,0.16687285223367698
0.8651496000000001,171,0.0058762886597938145,0.1727491408934708
0.8857484,165,0.005670103092783505,0.1784192439862543
0.9063472,157,0.005395189003436426,0.18381443298969075
0.926946,168,0.00577319587628866,0.1895876288659794
0.9475448,173,0.005945017182130584,0.19553264604811
0.9681436,162,0.00556701030927835,0.20109965635738836
0.9887424,158,0.005429553264604811,0.20652920962199317
1.0093412,167,0.005738831615120275,0.21226804123711346
1.02994,146,0.005017182130584192,0.21728522336769765
1.0505388,159,0.005463917525773196,0.22274914089347084
1.0711376000000001,163,0.005601374570446735,0.22835051546391757
1.0917364,192,0.006597938144329897,0.23494845360824748
1.1123352,170,0.00584192439862543,0.24079037800687292
1.132934,159,0.005463917525773196,0.2462542955326461
1.1535328,142,0.004879725085910653,0.2511340206185568
1.1741316,142,0.004879725085910653,0.25601374570446744
1.1947304,175,0.006013745704467354,0.2620274914089348
1.2153292,156,0.0053608247422680414,0.26738831615120284
1.235928,151,0.005189003436426117,0.272577319587629
1.2565268,186,0.006391752577319588,0.2789690721649486
1.2771256,161,0.005532646048109965,0.2845017182130586
1.2977244000000001,171,0.0058762886597938145,0.2903780068728524
1.3183232,152,0.005223367697594502,0.29560137457044694
1.338922,143,0.004914089347079038,0.300515463917526
1.3595208,154,0.005292096219931272,0.30580756013745725
1.3801196,173,0.005945017182130584,0.31175257731958783
1.4007184000000001,175,0.006013745704467354,0.31776632302405516
1.4213172,166,0.00570446735395189,0.3234707903780071
1.441916,149,0.005120274914089347,0.3285910652920964
1.4625148000000001,151,0.005189003436426117,0.33378006872852256
1.4831136,140,0.004810996563573883,0.3385910652920964
1.5037124,142,0.004879725085910653,0.3434707903780071
1.5243112,154,0.005292096219931272,0.34876288659793836
1.54491,161,0.005532646048109965,0.35429553264604835
1.5655088,147,0.005051546391752577,0.35934707903780094
1.5861076,138,0.0047422680412371136,0.36408934707903806
1.6067064,155,0.0053264604810996565,0.3694158075601377
1.6273052000000001,156,0.0053608247422680414,0.37477663230240577
1.647904,158,0.005429553264604811,0.3802061855670106
1.6685028,174,0.005979381443298969,0.38618556701030954
1.6891016,174,0.005979381443298969,0.3921649484536085
1.7097004,133,0.004570446735395189,0.3967353951890037
1.7302992000000001,158,0.005429553264604811,0.4021649484536085
1.750898,148,0.005085910652920962,0.4072508591065295
1.7714968,145,0.004982817869415807,0.41223367697594526
1.7920956000000001,129,0.004432989690721649,0.4166666666666669
1.8126944,136,0.004673539518900344,0.4213402061855672
1.8332932,150,0.005154639175257732,0.42649484536082494
1.853892,128,0.004398625429553264,0.4308934707903782
1.8744908,147,0.005051546391752577,0.4359450171821308
1.8950896,156,0.0053608247422680414,0.44130584192439887
1.9156884,130,0.004467353951890034,0.4457731958762889
1.9362872,123,0.0042268041237113405,0.45000000000000023
1.9568860000000001,147,0.005051546391752577,0.4550515463917528
1.9774848,129,0.004432989690721649,0.45948453608247447
1.9980836,142,0.004879725085910653,0.46436426116838514
2.0186824,135,0.004639175257731959,0.4690034364261171
2.0392812,117,0.004020618556701031,0.47302405498281813
2.05988,132,0.004536082474226804,0.47756013745704495
2.0804788,140,0.004810996563573883,0.4823711340206188
2.1010776,140,0.004810996563573883,0.4871821305841927
2.1216764,121,0.004158075601374571,0.49134020618556723
2.1422752000000003,134,0.004604810996563574,0.4959450171821308
