Atom id,Diffusion Coefficient (cm²/s)
1,2.48816
2,4.01524
3,1.39239
4,1.31499
5,1.20238
6,0.62026
7,1.51967
8,1.18059
9,2.06755
10,0.652047
11,7.57875
12,2.27426
13,6.13685
14,1.5181
15,1.52148
16,3.733
17,1.51854
18,3.01269
19,7.72593
20,6.97594
21,1.09421
22,1.70235
23,2.31764
24,1.18972
25,4.1035
26,0.757096
27,6.72024
28,1.75934
29,1.12179
30,2.5746
31,2.04278
32,1.73725
33,0.655881
34,3.51772
35,1.59616
36,2.61134
37,1.9288
38,0.681178
39,8.17195
40,1.10158
41,1.8301
42,2.63229
43,5.6923
44,0.962234
45,2.1482
46,1.68612
47,3.97934
48,3.16727
49,2.86464
50,5.61623
51,1.96536
52,1.25354
53,1.29089
54,0.00621311
55,7.86908
56,2.15879
57,1.30767
58,4.66055
59,4.83706
60,2.9857
61,2.87322
62,1.46727
63,3.77614
64,4.67727
65,0.750892
66,3.42008
67,1.87532
68,4.01682
69,6.46464
70,0.227249
71,0.848943
72,0.787187
73,3.1245
74,1.30401
75,1.08722
76,1.0479
77,2.24898
78,1.32889
79,3.68189
80,4.04505
81,3.75287
82,1.98348
83,0.879543
84,2.32167
85,0.565408
86,5.93794
87,0.0106154
88,4.59399
89,0.872984
90,0.808222
91,0.829541
92,5.22103
93,3.15318
94,5.82674
95,1.39173
96,2.1012
97,2.18112
98,3.23372
99,0.957726
100,0.610768
101,0.487292
102,1.55212
103,2.03083
104,1.39959
105,2.27264
106,4.65043
107,1.43621
108,5.49463
109,2.28858
110,1.41086
111,7.81019
112,4.60807
113,7.16776
114,1.33694
115,1.01032
116,2.55623
117,3.80803
118,7.52594
119,1.63498
120,7.98775
121,0.418437
122,8.89696
123,4.86115
124,5.10143
125,0.985639
126,9.045
127,1.35177
128,6.86504
129,2.46077
130,2.91249
131,2.10956
132,3.97792
133,3.20793
134,4.47736
135,3.29516
136,0.32405
137,6.61811
138,2.17494
139,4.21593
140,2.06832
141,2.57956
142,5.03395
143,1.83041
144,3.91138
145,1.51894
146,1.12691
147,4.75889
148,1.65893
149,0.420929
150,4.37503
151,1.75862
152,3.21877
153,0.739503
154,3.84615
155,4.01434
156,0.93674
157,5.09943
158,12.0305
159,1.96924
160,5.40533
161,0.790696
162,2.39746
163,1.72368
164,1.30197
165,2.81407
166,2.79141
167,2.17259
168,0.647478
169,0.163259
170,0.682557
171,5.72358
172,5.70401
173,1.69464
174,0.510601
175,4.10698
176,4.60681
177,3.69342
178,0.293635
179,2.93629
180,2.42783
181,3.93172
182,3.91431
183,1.49247
184,1.89549
185,3.63024
186,1.02547
187,0.739592
188,1.49213
189,2.86618
190,4.55202
191,6.21124
192,1.01229
193,2.36605
194,1.10914
195,4.80648
196,1.97789
197,4.40375
198,0.303817
199,0.623373
200,3.7927
201,7.05285
202,4.23507
203,0.819449
204,3.2019
205,1.52339
206,2.15414
207,5.05475
208,1.1835
209,0.635137
210,0.806231
211,1.39019
212,4.60715
213,1.14765
214,8.47975
215,1.30309
216,0.551077
217,2.35571
218,5.23959
219,0.320457
220,4.06529
221,2.18584
222,2.02778
223,1.51986
224,2.36948
225,4.40819
226,1.65499
227,3.53079
228,2.29756
229,1.70957
230,1.15224
231,3.31591
232,1.92045
233,0.785663
234,0.574168
235,0.180362
236,0.996459
237,2.05447
238,1.65029
239,6.37319
240,1.72048
241,8.12688
242,2.59671
243,2.97185
244,0.894274
245,4.25522
246,13.1889
247,2.84976
248,2.45117
249,0.730629
250,1.64375
251,0.306651
252,3.09745
253,5.55316
254,3.99478
255,2.06504
256,3.93564
257,6.09878
258,2.78678
259,3.52348
260,2.87111
261,1.99859
262,1.09351
263,2.98615
264,0.610488
265,0.600226
266,2.23942
267,1.45123
268,3.33201
269,7.65082
270,2.44866
271,7.3219
272,8.55574
273,1.88637
274,6.45202
275,3.91963
276,0.415868
277,0.49584
278,2.54886
279,1.19693
280,3.57223
281,5.02737
282,3.144
283,8.52804
284,2.81658
285,1.29757
286,4.46434
287,4.1104
288,2.05532
289,1.35201
290,0.696784
291,1.59539
