Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.07212,0.696547,0.710603,0.664967,0.000965165,0.00410822,0.00577164
0.2,4.08824,1.39207,1.40418,1.29199,0.00658432,0.00881286,0.0197765
0.3,6.10096,2.09256,2.10327,1.90514,0.015383,0.024018,0.030084
0.4,8.1059,2.79365,2.80613,2.50612,0.0316401,0.0514945,0.0275901
0.5,10.0897,3.48109,3.51833,3.0903,0.0557939,0.0796723,0.0185061
0.6,12.0666,4.16143,4.23738,3.66781,0.0649619,0.10826,0.0245681
0.7,14.0309,4.8424,4.95875,4.22975,0.0696913,0.137571,0.0425234
0.8,15.9701,5.51661,5.66452,4.78896,0.0674911,0.173267,0.0626663
0.9,17.8953,6.19926,6.36102,5.33498,0.0760399,0.204873,0.0895839
1.0,19.8182,6.87393,7.05753,5.88678,0.0848875,0.226968,0.1232
1.1,21.7345,7.55003,7.75198,6.43248,0.104491,0.230403,0.157328
1.2,23.6387,8.20562,8.45632,6.97675,0.125009,0.228832,0.182387
1.3,25.5227,8.85656,9.16027,7.5059,0.155439,0.2352,0.206095
1.4,27.4217,9.51626,9.88902,8.01638,0.194116,0.244559,0.233939
1.5,29.2892,10.1604,10.6097,8.51908,0.227584,0.255097,0.262635
1.6,31.165,10.8203,11.3334,9.01128,0.253714,0.275049,0.278537
1.7,33.0127,11.4696,12.0481,9.49506,0.28438,0.277711,0.303992
1.8,34.8538,12.1205,12.7698,9.96349,0.316749,0.274563,0.340725
1.9,36.7165,12.7868,13.5055,10.4243,0.346857,0.272396,0.36776
2.0,38.5694,13.4464,14.2466,10.8764,0.377022,0.281329,0.402076
2.1,40.4033,14.1026,14.982,11.3187,0.393175,0.296761,0.437778
2.2,42.2521,14.759,15.7191,11.774,0.414699,0.313909,0.476384
2.3,44.0688,15.4036,16.4453,12.2199,0.454744,0.334524,0.516725
2.4,45.8688,16.0466,17.1657,12.6566,0.477686,0.354205,0.564909
2.5,47.701,16.7207,17.8963,13.084,0.497624,0.367085,0.612476
2.6,49.5537,17.4194,18.6147,13.5197,0.513311,0.378275,0.654101
2.7,51.3711,18.117,19.3148,13.9393,0.527421,0.388423,0.693238
2.8,53.2026,18.8351,20.0069,14.3605,0.549086,0.398491,0.7481
2.9,55.0011,19.5618,20.677,14.7622,0.580558,0.405651,0.804631
3.0,56.7925,20.298,21.3579,15.1366,0.60552,0.415943,0.856813
3.1,58.5586,21.0459,22.0203,15.4924,0.617844,0.42186,0.914412
3.2,60.2682,21.78,22.6663,15.8219,0.627195,0.410662,0.968873
3.3,61.964,22.511,23.3036,16.1493,0.649937,0.397525,1.03146
3.4,63.6482,23.249,23.949,16.4502,0.678089,0.376881,1.09179
3.5,65.3517,23.9891,24.6204,16.7422,0.722254,0.364364,1.14427
3.6,67.0393,24.73,25.2697,17.0396,0.762577,0.360507,1.20273
3.7,68.7342,25.4662,25.9198,17.3483,0.803583,0.361055,1.26219
3.8,70.4201,26.2222,26.56,17.6379,0.848558,0.369328,1.32778
3.9,72.1019,26.9674,27.218,17.9165,0.907693,0.37215,1.38093
4.0,73.745,27.6932,27.878,18.1738,0.969918,0.380508,1.4281
4.1,75.4047,28.4264,28.5633,18.4149,1.03659,0.36737,1.46184
4.2,77.073,29.1598,29.2492,18.664,1.08174,0.366169,1.48935
4.3,78.7413,29.8985,29.942,18.9008,1.13817,0.359857,1.52487
4.4,80.4164,30.6467,30.642,19.1276,1.20922,0.351489,1.57657
4.5,82.0419,31.3748,31.3333,19.3337,1.27923,0.328792,1.6229
4.6,83.653,32.0788,32.015,19.5592,1.35601,0.299021,1.67998
4.7,85.2727,32.7954,32.696,19.7812,1.44607,0.238273,1.7412
4.8,86.859,33.494,33.3705,19.9944,1.52816,0.178635,1.81055
4.9,88.4106,34.1661,34.0352,20.2092,1.61829,0.13938,1.86843
5.0,89.9646,34.8584,34.6719,20.4344,1.69086,0.0915618,1.90913
5.1,91.4689,35.5483,35.2558,20.6649,1.74952,0.0452231,1.95063
5.2,93.0146,36.2706,35.8739,20.8701,1.82671,0.00113374,1.98614
5.3,94.5713,37.0024,36.4832,21.0857,1.90246,-0.051279,2.04315
5.4,96.1722,37.7447,37.1196,21.3079,1.97975,-0.108199,2.10418
5.5,97.7827,38.483,37.7562,21.5435,2.06205,-0.155367,2.15756
5.6,99.3866,39.2254,38.3779,21.7834,2.15895,-0.203347,2.20894
5.7,100.982,39.9818,39.0215,21.9783,2.25917,-0.246086,2.2344
5.8,102.568,40.7249,39.65,22.1931,2.34519,-0.285132,2.24732
5.9,104.191,41.4972,40.2985,22.3951,2.41431,-0.342982,2.25823
6.0,105.854,42.2705,40.9675,22.6157,2.4757,-0.413148,2.25876
6.1,107.426,42.9848,41.6466,22.7946,2.53412,-0.50461,2.26209
6.2,109.009,43.7422,42.2874,22.9797,2.6029,-0.594094,2.24576
6.3,110.629,44.5149,42.9123,23.2021,2.66342,-0.667694,2.21561
6.4,112.188,45.2376,43.5445,23.4057,2.71289,-0.777554,2.18844
6.5,113.799,45.9759,44.1807,23.642,2.75864,-0.919202,2.14507
6.6,115.369,46.7135,44.8161,23.8393,2.813,-1.09172,2.09575
6.7,116.918,47.4576,45.4554,24.0045,2.88347,-1.24655,2.00783
6.8,118.379,48.1612,46.0701,24.1475,2.93589,-1.40172,1.89713
6.9,119.884,48.8355,46.7443,24.3045,3.03107,-1.54467,1.79822
7.0,121.336,49.4864,47.3973,24.4522,3.13137,-1.6918,1.71466
7.1,122.691,50.0836,48.0218,24.5853,3.25659,-1.86155,1.63048
7.2,124.052,50.6929,48.6544,24.7047,3.38132,-2.01575,1.57216
7.3,125.411,51.309,49.2495,24.8521,3.5103,-2.16716,1.50137
7.4,126.815,51.9106,49.8319,25.0725,3.60753,-2.26973,1.45689
7.5,128.238,52.5,50.4717,25.2667,3.73743,-2.3325,1.4543
7.6,129.58,53.1049,50.9972,25.4781,3.83541,-2.35687,1.4546
7.7,130.965,53.6832,51.5628,25.7195,3.89851,-2.36347,1.43246
7.8,132.335,54.3319,52.0937,25.9096,3.96611,-2.36921,1.39997
7.9,133.678,54.9506,52.6416,26.0861,4.04089,-2.36163,1.33587
8.0,135.126,55.6653,53.1768,26.2834,4.11796,-2.33879,1.27748
8.1,136.555,56.346,53.7549,26.4545,4.2226,-2.28952,1.1574
8.2,137.919,56.9813,54.3075,26.6302,4.32401,-2.27398,1.04278
8.3,139.295,57.6317,54.8853,26.7785,4.3759,-2.23434,0.909154
8.4,140.711,58.3004,55.4295,26.9806,4.38535,-2.21098,0.733132
8.5,141.911,58.9479,55.8493,27.1133,4.48667,-2.21516,0.570058
8.6,143.054,59.5857,56.26,27.208,4.60997,-2.22515,0.450749
8.7,144.223,60.1949,56.6903,27.3379,4.64038,-2.29002,0.394425
8.8,145.512,60.8364,57.1376,27.5384,4.55822,-2.3381,0.370744
8.9,146.724,61.5027,57.5381,27.6827,4.55545,-2.35489,0.326338
9.0,147.9,62.1428,57.9263,27.8314,4.54814,-2.40118,0.252699
9.1,149.03,62.7121,58.382,27.9354,4.65529,-2.3946,0.177636
9.2,150.052,63.2643,58.7803,28.0076,4.6985,-2.44929,0.0424266
9.3,151.241,63.7963,59.3631,28.0813,4.8328,-2.48284,-0.0343946
9.4,152.687,64.4836,60.0441,28.1591,4.91982,-2.40573,-0.189916
9.5,154.025,65.0843,60.7579,28.1828,4.90849,-2.4677,-0.322146
9.6,154.947,65.7378,61.162,28.0476,4.88511,-2.54638,-0.407337
9.7,156.002,66.746,61.5273,27.7283,4.84495,-2.64609,-0.637848
9.8,156.962,67.6674,61.4874,27.8075,4.6577,-2.74778,-0.708404
9.9,158.224,68.7435,61.5483,27.9325,4.42379,-2.68188,-0.692768
10.0,160.369,69.7559,62.1344,28.4788,4.39539,-2.67045,-0.930375
