Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.0701,0.690191,0.702706,0.6772,-7.8727e-05,-0.00320037,-0.0136714
0.2,4.06668,1.35533,1.39387,1.31749,-0.000647909,-0.00610496,-0.0268599
0.3,6.03642,2.007,2.08437,1.94505,0.000367117,-0.0027568,-0.0385843
0.4,7.97522,2.65715,2.77825,2.53982,-0.00352647,0.00591451,-0.052467
0.5,9.8954,3.30364,3.46643,3.12533,-0.00361256,0.0105381,-0.0598881
0.6,11.7964,3.95352,4.1513,3.69157,-0.00259275,0.0155547,-0.0604239
0.7,13.6738,4.59273,4.83917,4.24193,0.0161761,0.0242423,-0.0743026
0.8,15.5319,5.22752,5.52776,4.77658,0.0322562,0.0280666,-0.0843884
0.9,17.383,5.86933,6.21374,5.2999,0.0526909,0.0456687,-0.10041
1.0,19.2418,6.51567,6.91205,5.8141,0.0658653,0.0717746,-0.116513
1.1,21.0853,7.16664,7.59322,6.3254,0.0792161,0.0818432,-0.135973
1.2,22.9038,7.80087,8.28112,6.8218,0.100422,0.0891092,-0.153066
1.3,24.708,8.43647,8.96253,7.30905,0.129318,0.0959219,-0.171354
1.4,26.5001,9.06384,9.65544,7.78086,0.159535,0.105244,-0.192715
1.5,28.2914,9.67814,10.3714,8.2418,0.189389,0.120269,-0.225511
1.6,30.0892,10.302,11.1012,8.68609,0.214177,0.132225,-0.250533
1.7,31.8932,10.9296,11.8428,9.12082,0.233913,0.146405,-0.280007
1.8,33.7085,11.5571,12.5985,9.55289,0.258157,0.165877,-0.318892
1.9,35.5104,12.1811,13.3541,9.97511,0.27298,0.207077,-0.342319
2.0,37.3252,12.8118,14.1116,10.4018,0.292233,0.24375,-0.369849
2.1,39.0939,13.4181,14.8482,10.8276,0.325683,0.27394,-0.401435
2.2,40.8474,14.0243,15.5612,11.2619,0.357353,0.287343,-0.429592
2.3,42.592,14.6446,16.2829,11.6645,0.392527,0.294212,-0.456651
2.4,44.3509,15.2615,17.0244,12.065,0.424865,0.312534,-0.487047
2.5,46.0939,15.8758,17.7581,12.46,0.448395,0.345114,-0.520655
2.6,47.8435,16.479,18.5088,12.8557,0.481824,0.387632,-0.54421
2.7,49.5835,17.066,19.257,13.2606,0.525997,0.43228,-0.564834
2.8,51.3345,17.6565,20.0174,13.6606,0.569986,0.471696,-0.590054
2.9,53.0879,18.241,20.7862,14.0606,0.62451,0.512209,-0.618629
3.0,54.832,18.8296,21.543,14.4593,0.663014,0.557793,-0.652027
3.1,56.5372,19.4064,22.2784,14.8524,0.691938,0.601201,-0.680495
3.2,58.2289,19.9964,23.0048,15.2278,0.721211,0.639996,-0.717632
3.3,59.9072,20.5931,23.7163,15.5978,0.746954,0.676105,-0.769641
3.4,61.5836,21.1977,24.428,15.9579,0.748576,0.715991,-0.809937
3.5,63.25,21.8059,25.156,16.2881,0.750257,0.763954,-0.850008
3.6,64.8793,22.4012,25.8812,16.597,0.747009,0.823344,-0.88314
3.7,66.4711,22.9859,26.6021,16.8832,0.72467,0.888057,-0.901542
3.8,68.0726,23.5721,27.3303,17.1702,0.693017,0.953779,-0.923296
3.9,69.6532,24.1344,28.0573,17.4615,0.678352,1.02189,-0.930992
4.0,71.1632,24.6852,28.7528,17.7252,0.666587,1.09415,-0.941523
4.1,72.6974,25.2611,29.4479,17.9884,0.658256,1.15798,-0.950953
4.2,74.1912,25.8323,30.1521,18.2069,0.628178,1.21334,-0.942718
4.3,75.6991,26.4398,30.8324,18.4269,0.592982,1.25164,-0.95014
4.4,77.2095,27.0543,31.4949,18.6603,0.564757,1.28652,-0.953649
4.5,78.6751,27.6732,32.1169,18.885,0.555837,1.31207,-0.939301
4.6,80.16,28.306,32.728,19.126,0.557737,1.33637,-0.934362
4.7,81.6605,28.9599,33.3417,19.359,0.524359,1.38415,-0.928893
4.8,83.1472,29.6089,33.9502,19.5881,0.490313,1.43255,-0.938183
4.9,84.6644,30.2561,34.5828,19.8254,0.46157,1.49966,-0.944074
5.0,86.1647,30.8866,35.2124,20.0657,0.423792,1.56033,-0.946606
5.1,87.6852,31.5548,35.8409,20.2895,0.400018,1.62096,-0.936849
5.2,89.2393,32.2552,36.465,20.5191,0.397496,1.7019,-0.916338
5.3,90.7813,32.9538,37.0777,20.7498,0.386221,1.80983,-0.893401
5.4,92.3195,33.6618,37.6773,20.9804,0.361828,1.9106,-0.84206
5.5,93.8438,34.36,38.3028,21.181,0.333247,2.02157,-0.76951
